intent,question
3,how much of earth is covered ocean water
3,how is root beer made?
3,how much did yankee stadium cost
3,what does informal logic mean
3,what country is turkey in
3,what country is turkey in
3,"what county is Augusta,GA located in?"
3,"What happened to ""The Glades"" tv series"
3,how many albums has eminem sold in his career
3,what do pigs eat
3,what does a cutter do
3,what it takes aerosmith album
3,what it takes aerosmith album
3,what county is erie colorado
3,What happened during the Starving Time in Jamestown?
3,What happened during the Starving Time in Jamestown?
3,What happened during the Starving Time in Jamestown?
3,what classes are considered humanities
3,what classes are considered humanities
3,what classes are considered humanities
3,what classes are considered humanities
3,what does the president of the usa do
3,what does the president of the usa do
3,what does the president of the usa do
3,what food is in afghan
3,what food is in afghan
3,how kimberlite pipes form
3,how many seasons of grey's anatomy are there
3,how is schizophrenia diagnosed?
3,what kind of cut is tri tip
3,what kind of cut is tri tip
3,what county is willmar mn in?
3,what kind of company is Microsoft?
3,how does weather happen
3,how many countries have english as an official language
3,what countries are in cono sur
3,what countries are in cono sur
3,how many innings makes an official game
3,what branch of the military is delta force
3,what causes the seasons
3,what does 3g network mean
3,what does Mazel tov! mean
3,How Do You Get Hepatitis C
3,how does flexible spending account work
3,how tennessee became a state
3,how many baseball teams usa
3,what county is coatesville indiana located in
3,how does Delaware support its claim to being the first state?
3,how many amendments in the US constitution
3,what does fidelity do
3,what causes thunder sound
3,what causes thunder sound
3,what day is the federal holiday for Martin Luther King Jr.
3,what area code is 949
3,what does continuous improvement mean
3,what area code is 810
3,how many babies are in a typical raccoon litter
3,what kind of earthquake was haiti
3,what kind of horse was mr ed
3,What does Rapture meaning in a theological sense?
3,who does chris humphries play for
3,what are corporation balance
3,what is .17 hmr caliber
3,what made the civil war different from others
3,where to buy potato bread made without wheat
3,what year was the 8 track invented
3,what are points on a mortgage
3,who killed julius caesar
3,what are  the  official languages of nigeria
3,"who played guitar on the kiss album, creatures of the night"
3,who wrote white christmas
3,what are the different types of cross country skiing
3,what are use taxes?
3,what are use taxes?
3,what are use taxes?
3,WHAT IS A FY QUARTER
3,who pulmonary hypertension
3,what is an array in programming
3,what is an array in programming
3,who wrote a rose is a rose is a rose
3,what is a notary for
3,what is a notary for
3,when did the cold war start
3,what state is pike's peak in?
3,what state is jakarta in?
3,what song is sung in 6 foot 7 foot
3,what is a book index
3,who sings the song never ending story
3,who can file suspicious activity report
3,who created facebook
3,what are the sulfas
3,what are risk for infections
3,who owns joe's crab shack
3,where do cruises dock in new york city
3,what is a right wing christian
3,who played the lead roles in the movie leaving las vegas
3,what is a CMM machine
3,what percentage of water in in the body
3,what percentage of water in in the body
3,what type of batteries are 357 (LR44)
3,where did hurricane katrina begin
3,where did hurricane katrina begin
3,what is an assist in basketball
3,what is 1 mil guaranies in united states dollars
3,where did the persian war take place
3,where did the persian war take place
3,where did the persian war take place
3,where did the persian war take place
3,where did the persian war take place
3,where did the persian war take place
3,where did the persian war take place
3,what is a day care for?
3,who discovered neptune the planet
3,what separates me from you album
3,when did thomson make the plum-pudding model
3,what part of the pig is bacon
3,where did erisa come from
3,where did erisa come from
3,what percent of illegal immigrants are from mexico and europe
3,what school district is alvin in?
3,what are the houses of hogwarts
3,when us subprime mortgage market collapse
3,What kind of personality test is the MBTI
3,What kind of personality test is the MBTI
3,What kind of personality test is the MBTI
3,what type of game is heavy rain
3,what are superannuation contributions?
3,where does a flea live
3,what is a group of deer called
3,what state was john mccain a senator in during the 2008 election
3,when does the electoral college votes
3,when barack obama was born
3,who wrote rhythm of the ancient mariner
3,when did freddie mercury die
3,what is a .PAC file
3,what is a .PAC file
3,what are spoilers for
3,who sings i am a man of constant sorrow
3,who kill franz ferdinand ww1
3,what year did disney's animal kingdom lodge open
3,what are two languages in Nigeria?
3,what war led to Pearl Harbor
3,what is a mms message
3,where in the world are smallpox common
3,what year did the beatles came out with the song i wanna hold your hand
3,what year did the beatles came out with the song i wanna hold your hand
3,what is a gasser car
3,what tensions preceded the berlin blockade
3,who sang proud mary
3,who sang that song-a change is going to come
3,where do crocodiles live
3,what percentage of the human body is water
3,what relates to erosion
3,what relates to erosion
3,what is a form of legal ownership
3,where in oregon is albany
3,where in oregon is albany
3,who wrote what's my name rihanna
3,what year did isaac newton die
3,what is a constant in math?
3,when did abraham lincoln write the emancipation proclamation??
3,what part of the pre-world war 1 arms race was the most intense?
3,who owns land rover
3,what states have legalized prostitution
3,what states are on the east coast
3,when president nixon resigns
3,when did sertraline come on the market
3,where fourth of july came from
3,when did secretariat win
3,what are batteries made up of
3,what are batteries made up of
3,what is a full job time??
3,what are the three primary colors in the subtractive color model
3,what are layers of the ionosphere
3,what people used mayan numeral system
3,what is a newsgroup message
3,who plays as big bird
3,who plays as big bird
3,who accompanied King louis the VII of France on the second crusade
3,who founded walmart
3,what are some legal uses of meth
3,when did gary moore die
3,what is 6 pin din connector
3,what is a hosting company on a website
3,Where does the word baptism come from
3,what school did Zach Thomas play for before making it in to the NFL
3,what order is the moth
3,what are the uses for gui
3,who won antm cycle 12
3,who owns exxon mobil
3,who built the globe
3,what are warehouse spreadsheets used for
3,what are warehouse spreadsheets used for
3,what are warehouse spreadsheets used for
3,what is a rock quarry
3,what kind of school is MIT
3,Who Started the Mormon Church
3,what are banana plugs for
3,what part of the earth's structure is believed to consist of tectonic plates
3,when did the trojan war take place
3,what is a letterbox movie
3,what is a letterbox movie
3,who won the 2009 super bowl
3,what is a popular people meter
3,what are the characteristics of bryophytes
3,when to use semicolon
3,when did xbox release
3,what is a roll play games
3,when did the civil war start and where
3,What are the busiest airports in the world
3,where the streets have no name filming location
3,where did the mayflower land
3,what is a forward in soccer
3,WHO QUALIFIES AS A DOMESTIC PARTNER IN CA
3,where did mark jackson play pro basketball?
3,what languages are spoken in south africa
3,what languages are spoken in south africa
3,Who controlled Alaska before US?
3,what are stink bombs made of
3,what are stink bombs made of
3,who sang black velvet
3,"who said ""A picture is worth a thousand words""?"
3,who produced loyal to the game?
3,WHAT ARE HERITABLE TRAITS
3,who does afge represent
3,what teams won super bowl
3,what year was christianity introduced to sub-saharan africa
3,who wrote puff the magic dragon
3,when did expos become nationals
3,what is a contingent fee with an attorney
3,what is a D.O. stand for medical doctor
3,what is a vetting process
3,when did the free soilers party start?
3,who reports the consumer price index
3,"where does the expression ""knocking on wood"" come from"
3,what are rocker arms?
3,who sang the nights the lights went out
3,who sang the nights the lights went out
3,where does the return address go on mail
3,where does the return address go on mail
3,when did steven adler play for guns and roses
3,what is a synthetic conduit
3,what is a wwII theater
3,what is amoxicillin for?
3,what state was the civil war in
3,where did the early humans live?
3,where did the early humans live?
3,who invaded north africa during ww2
3,WHAT YEARS WAS THE C5 VETTE PRODUCED
3,what year was gulf war
3,What U.S. President's head has been featured on the nickel (five-cent coin) since 1938?
3,who sings stand by me
3,When did F15s first fly
3,what year was elvis born
3,what are the arb medications
3,where did columbus really land in 1492?
3,what is a brindle boxer
3,what are SATA Power Connector
3,what are SATA Power Connector
3,who invented the internet
3,"What kind of poem is ""This is Just to Say"""
3,when does the royal standard fly?
3,when does the royal standard fly?
3,who played dumbledore in harry potter
3,who played dumbledore in harry potter
3,what produces calcitonin
3,who hit the first home run at riverfront stadium?
3,Who Makes Nexen Tires
3,who did richard nixon refer to as the  silent majority
3,who did richard nixon refer to as the  silent majority
3,what the atmosphere on mercury
3,What are the lateral and median apertures of the brain?
3,what year did the last monkeys go into space
3,what part of the pig do pork chops come from
3,what are grits made from
3,what religion is westminster abbey
3,when did coca cola first come out
3,what role do ombudsman play in the swedish government?
3,what state is new england in
3,who played batman in dark knight
3,what are stanzas in poetry
3,what are stanzas in poetry
3,who shot franz ferdinand
3,who won the super in xl1
3,what are the three ossicles
3,what are the parts of plant stems?
3,what is an army specialist
3,what year did martin luther king die
3,what to make with linen
3,what spanish speaking countries have the most world cup titles
3,who composed the Singapore national anthem
3,what south dakota county is wakonda in
3,what are american people of japanese descent called
3,what are american people of japanese descent called
3,when does v start
3,when did spongebob first air
3,what are d.o. of medicine
3,what are d.o. of medicine
3,what is a bus adapter in a computer?
3,where does cashmere come from
3,Who invented egg rolls
3,what westerners include in pain and suffering
3,what westerners include in pain and suffering
3,what is a medallion guarantee
3,what is a medallion guarantee
3,who won the 2010 world cup
3,who wrote the song in the mood
3,what is active learning strategies
3,"what is ""thin film"" technology"
3,who sang I want to dance with somebody
3,what zones are tropical
3,what type of business is walmart
3,what part of the plant are avocados
3,when does air bag deploy
3,what are some chinese inventions
3,what are some chinese inventions
3,who sung the banana boat song
3,when did wwi begin
3,what year did keeping up with the kardashians begin
3,what two empires fought to control afghanistan
3,what triggered the civil war
3,what is a store confectioner
3,what is a store confectioner
3,when did qing dynasty begin
3,who owns youtube
3,what are tires made of
3,who killed general warren in bunker hill
3,where do women ejeculation exactly coming from
3,who won the women's world cup
3,when did texas become a state
3,who owns smirnoff
3,who made the matrix
3,what are some six sigma tools used
3,who wrote serenity prayer
3,what are the Declaration and Resolves of the First Continental Congress about
3,what are the Declaration and Resolves of the First Continental Congress about
3,what are the Declaration and Resolves of the First Continental Congress about
3,what is a bad beat in poker
3,what part of beef are rouladen cut from?
3,where does cellular respiration occur
3,who created massey ferguson
3,what is a lapping machine
3,who plays ethan in my babysitter's a vampire
3,where do the mohawks live
3,where do the mohawks live
3,where do the mohawks live
3,when did proof die
3,when did proof die
3,what is a base SI unit
3,when did ww1 end?
3,what state is area code 419
3,what is 9/11 bombings
3,what are social security taxes
3,what town is laurel hollow ny in
3,when did charles dickens live
3,when did the civil rights movement begin
3,who won fifa world cup 2010
3,when did egg mcmuffin get invented
3,who shot john lennon?
3,what state is new orleans in
3,what where the most important factors that led to the defeat of the democrates in 1968?
3,when did kurt cobain kill himself
3,who starred in the original true grit
3,what is a millwright worker
3,what the names of destiny's child
3,who created the tourbillon movement?
3,what is an .msi file
3,what year did mexico gain independence from spain
3,What are procedure codes terms in coding?
3,what is a Four Lokos
3,what is a fret on a guitar
3,what year was smokey the bear invented
3,who said tv is a vast wasteland
3,what is a duvet cover used for
3,who did mr bojangles
3,what is an agents job role in film
3,what is an agents job role in film
3,"who discovered the 2 moons of mars,Phobos and Deimos"
3,WHAT IS A LAW ENFORCEMENT MURDER BOOK
3,where does angela davis currently work
3,when album love always released
3,who wrote west side story
3,who killed robert kennedy
3,when Harry met Sally case
3,who owns hamburger helper
3,what makes a dwarf planet
3,what makes a dwarf planet
3,when did jack lalanne die
3,who made the original care bears
3,what states does interstate 70 travel through
3,when do solar eclipses happen?
3,where do mangos come from
3,what latitude is tropic of cancer
3,what video format will play in a DVD player
3,what part of the government governs the US post office?
3,what state is the capital in
3,what are square diamonds called?
3,what motor does a 2001 monte carlo
3,where scottsdale?
3,who has brad pitt dated
3,what is a dogs classification
3,what year was President kennedy president?
3,who owns popeyes chicken
3,what nationality is wendy williams
3,who said give me liberty or give me death
3,who said give me liberty or give me death
3,what president was theodore roosevelt
3,who starred in webster
3,what are the most known sports in america
3,what are the most known sports in america
3,what is a monarch to a monarchy
3,"what is an ""N.M?"
3,what is adem disease
3,what is adem disease
3,what year did john adams become  president?
3,who created bing
3,who made hubble telescope
3,what are anti inflammatories
3,who sang momma told me not to come
3,when did andrea doria sink
3,what are dialysis tubes
3,who designed the statue of liberty
3,what is am 2201
3,who wrote second corinthians
3,who first synthesized heroin
3,when did george washington died?
3,when did george washington died?
3,what is a wiki platform
3,what are four thirds cameras
3,who plays dumbledore in harry potter 6
3,what type of land is savannah
3,who wrote  nature boy
3,who set the world record for women for high jump
3,when did playstation 3 first launch
3,where does ground pepper come from
3,where does ground pepper come from
3,where does ground pepper come from
3,what type of ecosystem does stingrays live in
3,who wrote the song cocaine
3,when did pearl harbor get bombed
3,what religion is primary in africa?
3,who won season 2 of project runway
3,when did marlins start
3,what is a mule in coins
3,where do dungeness crab live
3,who plays mary poppins in the movie
3,what is an arc in a story plot
3,What are the different translations for the Bible
3,What are the different translations for the Bible
3,when does black friday start for christmas
3,when does black friday start for christmas
3,when does black friday start for christmas
3,who sang what a wonderful world
3,what month is the president inaugurated
3,when did Emperor Justinian die
3,what movement was elizabeth cady stanton a part of
3,what movement was elizabeth cady stanton a part of
3,what radio station are the boston bruins on?
3,what radio station are the boston bruins on?
3,when did ms .drgs go into effect
3,what are the characteristics of an ethnic group
3,what are the characteristics of an ethnic group
3,what are the characteristics of an ethnic group
3,what mountains are on appalachian trail
3,what are add ons
3,what are add ons
3,what are add ons
3,what are add ons
3,what are add ons
3,what are add ons
3,what would be the deliverables
3,what are club seats
3,what are club seats
3,what school did oprah winfrey help
3,when did scott pilgrim come out
3,what is a google in math
3,what structure is disulfide bonds
3,what is a redshirt freshman football player
3,who rules communism government
3,who makes skittles?
3,what year did South Africa become a team in rugby
3,what is a discipline of study
3,what is a discipline of study
3,who did john f kennedy run against?
3,who wrote stand by me
3,what are metaphors used for
3,what are metaphors used for
3,what season is  dexter on
3,What are context effects of memory?
3,what are the names of the ll divos
3,who won the 1998 world cup
3,where did the vietnamese settle in america
3,What is a 28 day cycle?
3,when did hitler kill himself
3,when did world war 2 end
3,what is a llc company?
3,what is a llc company?
3,what are k cups
3,what is a chronograph watch
3,what is a PCI port used for
3,who won the 1967 nba championship
3,who make airbus
3,who invented the television
3,what are the side effects for lyme disease
3,what are the side effects for lyme disease
3,when did the movie deep blue sea come out
3,when did the movie deep blue sea come out
3,who wrote the song for star wars
3,what are a and r reps
3,what measurement is a furlong
3,where does ray lamontagne live
3,when the wind blows james patterson
3,who made facebook
3,what are the catholic gifts of the holy spirit
3,what are the catholic gifts of the holy spirit
3,where do you find iodine
3,what are lobbying groups
3,what are lobbying groups
3,what kind of people are on the show skins
3,who played the drums in the band cream back in 1968
3,what president made decision to buy louisiana
3,who sang cool jerk
3,what is a league in the sea
3,what nationality is kris jenner
3,when will ie9 be released
3,when did classification of races begin
3,when did lucy stone died
3,what are stocks and bonds
3,what are stocks and bonds
3,what are the boundaries of the pelvic outlet
3,what states has the electric chair
3,what are private labels
3,when did germans enter paris in ww2
3,who wrote the song feelin alright
3,what is a neuro tract
3,when did dr.carter g woodson die
3,what are loan originations
3,what are loan originations
3,When did the New Deal start
3,what year did aerosmith i dont want to miss a thing
3,when did daylight savings time start
3,What region of France is Montargis in?
3,what year lord of rings made?
3,what time will the world end on may 21
3,what is  file based system
3,who makes triumph motorcycles
3,who makes triumph motorcycles
3,What political conflicts marked the presidency of William Howard Taft?
3,what temperature is a salt ice bath
3,when slavery abolished
3,when slavery abolished
3,what produces primary xylem?
3,what is a ti 82?
3,what is a ti 82?
3,what makes of the united states
3,what makes of the united states
3,what makes of the united states
3,what makes of the united states
3,what are circumpolar constellations
3,where do sesame seeds come from
3,who owned kansas before it became a state
3,where did the olmecs come from
3,what states allow same sex marriage
3,when did thomas jefferson become president
3,when did thomas jefferson become president
3,who sang sun city
3,who won the most nba championships
3,when did the word fuck begin
3,what are the 7 continents
3,what state is milwaukee in
3,who wrote the song hallelujah
3,what are garnishments
3,what years was the 18th century
3,what year was the eiffel tower made
3,when monopoly came out
3,what are land parcels
3,what state is Mn
3,what naturally occurring isotopes does cobalt have
3,Who Moved My Cheese Synopsis
3,who replaced nikita khrushchev
3,What Are Mnemonic Devices
3,who passed no child left behind
3,what are the charges against Casey Anthony
3,What is a surveyors wheel
3,where did world war 1 start
3,what species is a spider
3,what year was girls just want to have fun release
3,when can you use a defibulator
3,who created the cato institute
3,what are the players in Quidditch?
3,who wrote the song a little more country than that>
3,who makes blackberry
3,when does a demand curve shift?
3,what are arizona's symbols
3,what are arizona's symbols
3,what is adoration catholic church
3,when the body is systemic
3,what are SLR cameras
3,what is a vm server
3,Where Elephants Live
3,what are the quad muscles
3,when did the titanic sink
3,where is the human thigh located?
3,what is considered a large car
3,who is flo from progressive
3,who is flo from progressive
3,who is flo from progressive
3,who is flo from progressive
3,when was james madison in the house of representatives
3,What is and where is hydraulic fluid found and used for
3,Where Are Mahindra Tractors Made
3,Where Are Mahindra Tractors Made
3,what is petit lemans
3,what is middle class in the us
3,what is middle class in the us
3,what is middle class in the us
3,what is the scientific name of the eastern tiger salamander?
3,what is considered to be a disasters
3,What is firebird server
3,What is firebird server
3,What is caused by the human immunodeficiency virus?
3,what was the steelworkers strike
3,When was the first Mary Poppins book written
3,what is sims language
3,what is the function of the vas deferens?
3,What is Ischemia or infarction?
3,What is Ischemia or infarction?
3,What is Ischemia or infarction?
3,where is humboldt ks
3,what was nixon accused of
3,what was nixon accused of
3,who is elizabeth from general hospital who are the boys fathers
3,what is reagan known for
3,what is reagan known for
3,what is reagan known for
3,what is evoked otoacoustic emissions
3,what is chep pallet
3,who is victoria jackson from saturday night live
3,what was the post modernist era in literature?
3,who is the group enigma
3,who is the group enigma
3,when was scooby doo created
3,what is the federal death tax
3,when was raphael born
3,who is the CEO OF FACEBOOK
3,What Is the Largest Whale
3,What Is Range in Math
3,where is the seed located in an artichoke
3,who is on the hundred dollar bill
3,what is the ingredient in mustard
3,who are the members of the climax blues band?
3,when was the web invented
3,WHAT IS PARESTHESIAS OF HANDS
3,WHAT IS PARESTHESIAS OF HANDS
