intent,question,number,cleaned text
2,Are there any historical landmarks to visit?,206,historical landmark to visit
2,Where can I find unique local crafts?,207,find unique local craft
2,Are there any upcoming theater performances?,208,upcoming theater performance
2,Where's a good spot to watch sports games?,209,wheres good spot to watch sport game
2,What are some family-friendly activities?,210,familyfriendly activity
2,Can you suggest a good spa nearby?,211,suggest good spa nearby
2,Are there any cooking classes around?,212,cooking class around
2,Where can I rent bikes?,213,rent bike
2,What are the top-rated bakeries here?,214,toprated bakery
2,Is there a nearby community center?,215,nearby community center
2,Where's the best area for antique shopping?,216,wheres best area antique shopping
2,Can you recommend an outdoor dining spot?,217,recommend outdoor dining spot
2,Where can I try local street food?,218,try local street food
2,Are there any jazz clubs around?,219,jazz club around
2,Can you find me a karaoke bar?,220,find karaoke bar
2,Where can I find organic food stores?,221,find organic food store
2,What are some good hiking trails?,222,good hiking trail
2,Is there a fitness center open 24 hours?,223,fitness center open 24 hour
2,Where's a good spot to take kids?,224,wheres good spot to take kid
2,Can you suggest a good rooftop bar?,225,suggest good rooftop bar
2,Where's a romantic place for dinner?,226,wheres romantic place dinner
2,Are there any nearby hot springs?,227,nearby hot spring
2,Can you recommend a co-working space?,228,recommend coworking space
2,Where can I see the stars clearly?,229,see star clearly
2,What are the best spots for street food?,230,best spot street food
2,Are there any local festivals this month?,231,local festival month
2,Where can I buy artisanal cheese?,232,buy artisanal cheese
2,Can you suggest a scenic driving route?,233,suggest scenic driving route
2,Where can I find a nearby park?,234,find nearby park
2,Are there any good cafes around?,235,good cafe around
2,Can you recommend a place to eat?,236,recommend place to eat
2,Where's the nearest grocery store?,237,wheres nearest grocery store
2,Are there any museums close by?,238,museum close
2,Where can I buy fresh fruits?,239,buy fresh fruit
2,Is there a library nearby?,240,library nearby
2,Can you find a quiet place to relax?,241,find quiet place to relax
2,Where's a good spot for a walk?,242,wheres good spot walk
2,Are there any local events today?,243,local event today
2,Can you suggest a place for dinner?,244,suggest place dinner
2,Where is the nearest hospital?,245,nearest hospital
2,Are there any playgrounds for kids?,246,playground kid
2,Where's a good place for shopping?,247,wheres good place shopping
2,Can you find a bookstore for me?,248,find bookstore
2,Where can I get coffee?,249,get coffee
2,Is there a gym nearby?,250,gym nearby
2,Where can I find a bakery?,251,find bakery
2,Are there any markets around here?,252,market around
2,Where can I go for a swim?,253,go swim
3,What's your favorite color?,254,whats favorite color
3,Do you have any hobbies?,255,hobby
3,What's your favorite movie?,256,whats favorite movie
3,Do you like music?,257,like music
3,What's your dream job?,258,whats dream job
3,Do you have a pet?,259,pet
3,What's your favorite season?,260,whats favorite season
3,Have you ever traveled abroad?,261,ever traveled abroad
3,What's your favorite food?,262,whats favorite food
3,Do you enjoy reading books?,263,enjoy reading book
3,What's your favorite holiday?,264,whats favorite holiday
3,"If you could have any superpower, what would it be?",265,could superpower would
3,Do you like sports?,266,like sport
3,What's your favorite book?,267,whats favorite book
3,What's your favorite animal?,268,whats favorite animal
3,Do you like to cook?,269,like to cook
3,Have you ever tried a new hobby recently?,270,ever tried new hobby recently
3,Do you prefer tea or coffee?,271,prefer tea coffee
3,What's the best place you've visited?,272,whats best place youve visited
3,Do you believe in luck?,273,believe luck
3,Do you have a favorite memory?,274,favorite memory
3,What's the best advice you've ever received?,275,whats best advice youve ever received
3,"If you could visit any country, where would you go?",276,could visit country would go
3,What do you like about people?,277,like people
3,Have you ever tried something completely new?,278,ever tried something completely new
3,What's your favorite time of the day?,279,whats favorite time day
3,Do you enjoy art and creativity?,280,enjoy art creativity
3,Do you have a favorite joke?,281,favorite joke
3,What's your biggest wish?,282,whats biggest wish
3,Are you a morning person or a night owl?,283,morning person night owl
3,What's the coolest invention you've heard of?,284,whats coolest invention youve heard
3,"If you could learn any skill instantly, what would it be?",285,could learn skill instantly would
3,Do you like puzzles or brainteasers?,286,like puzzle brainteasers
3,What's your favorite type of weather?,287,whats favorite type weather
3,Do you enjoy learning new things?,288,enjoy learning new thing
3,What's something that always makes you smile?,289,whats something always make smile
3,"If you had one wish, what would it be?",290,one wish would
3,Do you have a favorite word?,291,favorite word
3,Have you ever been inspired by someone?,292,ever inspired someone
3,Do you enjoy playing games?,293,enjoy playing game
3,"What makes a good friend, in your opinion?",294,make good friend opinion
3,Do you have a favorite quote?,295,favorite quote
3,Are you an optimist or a realist?,296,optimist realist
3,What's the funniest thing you've heard recently?,297,whats funniest thing youve heard recently
3,"If you could change one thing in the world, what would it be?",298,could change one thing world would
3,Do you believe in second chances?,299,believe second chance
3,What's the most interesting thing you've learned?,300,whats interesting thing youve learned
3,Do you enjoy spending time outdoors?,301,enjoy spending time outdoors
3,What's your favorite way to relax?,302,whats favorite way to relax
3,"If you had a time machine, where would you go?",303,time machine would go
3,What's something you want to learn more about?,304,whats something want to learn
3,Are you a fan of surprises?,305,fan surprise
3,What's your favorite childhood memory?,306,whats favorite childhood memory
3,Do you prefer working alone or in a team?,307,prefer working alone team
3,Have you ever accomplished something you're proud of?,308,ever accomplished something youre proud
3,Do you like trying new foods?,309,like trying new food
3,What's your favorite form of entertainment?,310,whats favorite form entertainment
3,Are you good at keeping secrets?,311,good at keeping secret
3,What's one habit you'd like to break?,312,whats one habit youd like to break
3,"If you were an animal, what would you be?",313,animal would
3,Do you like making plans or being spontaneous?,314,like making plan spontaneous
3,What's something you find fascinating?,315,whats something find fascinating
3,Have you ever made a big decision on a whim?,316,ever made big decision whim
3,What motivates you the most?,317,motivates
3,"If you had unlimited free time, how would you use it?",318,unlimited free time would use
3,Do you like talking about dreams and goals?,319,like talking dream goal
3,What's one thing you wish you knew more about?,320,whats one thing wish knew
3,Have you ever been surprised by someone?,321,ever surprised someone
3,Do you have a role model?,322,role model
3,What's one thing that never fails to make you laugh?,323,whats one thing never fails to make laugh
3,Do you enjoy challenges?,324,enjoy challenge
3,Do you believe in destiny?,325,believe destiny
3,What's your idea of a perfect day?,326,whats idea perfect day
3,Are you a fan of technology?,327,fan technology
3,What's one thing you can't live without?,328,whats one thing cant live without
3,Do you like meeting new people?,329,like meeting new people
3,What's your favorite way to start the day?,330,whats favorite way to start day
3,Do you prefer quiet places or bustling ones?,331,prefer quiet place bustling one
3,What's a goal you're working towards?,332,whats goal youre working towards
3,"If you could live anywhere, where would it be?",333,could live anywhere would
3,Do you like listening to people's stories?,334,like listening to people story
3,What's the best gift you've ever received?,335,whats best gift youve ever received
3,Are you more of a thinker or a doer?,336,thinker doer
3,Do you believe in love at first sight?,337,believe love at first sight
3,What's something you wish you could do better?,338,whats something wish could better
3,Do you have a hidden talent?,339,hidden talent
3,What's your favorite way to spend a weekend?,340,whats favorite way to spend weekend
3,Are you a morning person?,341,morning person
3,What's your favorite part about learning something new?,342,whats favorite part learning something new
3,Do you like planning things out?,343,like planning thing
3,What's one thing you'd change about yourself?,344,whats one thing youd change
3,Do you enjoy surprises?,345,enjoy surprise
3,What's the most difficult decision you've made?,346,whats difficult decision youve made
3,Are you someone who likes taking risks?,347,someone like taking risk
3,What's the most memorable place you've been?,348,whats memorable place youve
3,Do you like trying new experiences?,349,like trying new experience
3,Are you good at multitasking?,350,good at multitasking
3,What's your dream vacation destination?,351,whats dream vacation destination
3,Do you believe in karma?,352,believe karma
3,What's your favorite subject to talk about?,353,whats favorite subject to talk
3,What's something that makes you feel accomplished?,354,whats something make feel accomplished
3,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,355,african american immigrated to u
3,how are glacier caves formed?,356,glacier cave formed
3,how a water pump works,357,water pump work
3,"how big is bmc software in houston, tx",358,big bmc software houston tx
3,"how big is bmc software in houston, tx",359,big bmc software houston tx
3,how much is 1 tablespoon of water,360,much 1 tablespoon water
3,how much is 1 tablespoon of water,361,much 1 tablespoon water
3,how much is 1 tablespoon of water,362,much 1 tablespoon water
3,how much are the harry potter movies worth,363,much harry potter movie worth
3,how a rocket engine works,364,rocket engine work
3,how old was sue lyon when she made lolita,365,old wa sue lyon made lolita
3,how are cholera and typhus transmitted and prevented,366,cholera typhus transmitted prevented
3,how did anne frank die,367,anne frank die
3,how are aircraft radial engines built,368,aircraft radial engine built
3,how deep can be drill for deep underwater,369,deep drill deep underwater
3,how old was monica lewinsky during the affair,370,old wa monica lewinsky affair
3,how long was frank sinatra famous,371,long wa frank sinatra famous
3,how are antibodies used in,372,antibody used
3,how are antibodies used in,373,antibody used
3,how are antibodies used in,374,antibody used
3,how are antibodies used in,375,antibody used
3,how much is jk rowling worth,376,much jk rowling worth
3,how big is auburndale florida,377,big auburndale florida
3,"how old is kirk douglas, the actor?",378,old kirk douglas actor
3,how old is the singer bob seger,379,old singer bob seger
3,how long was i love lucy on the air,380,long wa love lucy air
3,how long was richard nixon a president,381,long wa richard nixon president
3,HOW MUCH IS CENTAVOS IN MEXICO,382,much centavo mexico
3,How long was Mickie James with WWE?,383,long wa mickie james wwe
3,how did armando christian perez become famous,384,armando christian perez become famous
3,how old were the twin towers when destroyed,385,old twin tower destroyed
3,how are the # of electrons in each shell determined,386,electron shell determined
3,how many presidents of the us,387,many president u
3,how old is beatrice author,388,old beatrice author
3,how are public schools funded,389,public school funded
3,how are public schools funded,390,public school funded
3,what happens  to the light independent reactions of photosynthesis?,391,happens to light independent reaction photosynthesis
3,what happens  to the light independent reactions of photosynthesis?,392,happens to light independent reaction photosynthesis
3,how does interlibrary loan work,393,doe interlibrary loan work
3,how does interlibrary loan work,394,doe interlibrary loan work
3,what did mia hamm do his work,395,mia hamm work
3,what bacteria grow on macconkey agar,396,bacteria grow macconkey agar
3,what countries are under the buddhism religion,397,country buddhism religion
3,how did wild bill's father die,398,wild bill father die
3,how many land rovers have landed on mars,399,many land rover landed mar
3,how do forensic auditors examine financial reporting,400,forensic auditor examine financial reporting
3,how do forensic auditors examine financial reporting,401,forensic auditor examine financial reporting
3,how do forensic auditors examine financial reporting,402,forensic auditor examine financial reporting
3,what bird family is the owl,403,bird family owl
3,how did harmon killebrew get strong,404,harmon killebrew get strong
3,What did the augurs use to interpret the will of the gods?,405,augur use to interpret god
3,How much did Waterboy grossed,406,much waterboy grossed
3,"What county is Farmington Hills, MI in?",407,county farmington hill mi
3,what does a groundhog look for on groundhog day,408,doe groundhog look groundhog day
3,What committees are joint committees,409,committee joint committee
3,how many stripes on the flag,410,many stripe flag
3,How many states and territories are within India?,411,many state territory within india
3,how is whooping cough distinguished from similar diseases,412,whooping cough distinguished similar disease
3,how is whooping cough distinguished from similar diseases,413,whooping cough distinguished similar disease
3,what county is galveston in texas,414,county galveston texas
3,what cities are in the bahamas,415,city bahamas
3,what cities are in the bahamas,416,city bahamas
3,how many schools are in the big ten,417,many school big ten
3,how is single malt scotch made,418,single malt scotch made
3,how is single malt scotch made,419,single malt scotch made
3,what composer used sound mass,420,composer used sound mass
3,what composer used sound mass,421,composer used sound mass
3,what composer used sound mass,422,composer used sound mass
3,what composer used sound mass,423,composer used sound mass
3,what composer used sound mass,424,composer used sound mass
3,what composer used sound mass,425,composer used sound mass
3,what composer used sound mass,426,composer used sound mass
3,How Do You Play Spades,427,play spade
3,what continent is australia,428,continent australia
3,what causes heart disease,429,cause heart disease
3,what countries did immigrants come from during the immigration,430,country immigrant come immigration
3,what countries did immigrants come from during the immigration,431,country immigrant come immigration
3,how many people live in atlanta georgia,432,many people live atlanta georgia
3,how many people live in atlanta georgia,433,many people live atlanta georgia
3,what does it mean to be a commonwealth state,434,doe mean to commonwealth state
3,how long can you be in the supreme court,435,long supreme court
3,what county in texas is conroe located in,436,county texas conroe located
3,what can sql 2005 do,437,sql 2005
3,how many people were killed in the oklahoma city bombing,438,many people killed oklahoma city bombing
3,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,439,group took home award best rock album at australian recording industry association aria music award
3,how does a dredge work?,440,doe dredge work
3,how does a dredge work?,441,doe dredge work
3,how does a dredge work?,442,doe dredge work
3,how does a dredge work?,443,doe dredge work
3,how does a dredge work?,444,doe dredge work
3,what did benedict arnold die,445,benedict arnold die
3,how many world series did curt schilling have,446,many world series curt schilling
3,how many ports are there in networking,447,many port networking
3,what area code is 479,448,area code 479
3,what area code is 479,449,area code 479
3,what does arraignment mean,450,doe arraignment mean
3,what did chaucer do,451,chaucer
3,what did chaucer do,452,chaucer
3,what does am and pm stand for,453,doe am pm stand
3,how is canada's health care,454,canada health care
3,how many xbox 360 games are there,455,many xbox 360 game
3,how do pineapples grow,456,pineapple grow
3,what country did wine originate in,457,country wine originate
3,how many district are in west bengal,458,many district west bengal
3,how many towns in new hampshire,459,many town new hampshire
3,what does salesforce.com do?,460,doe salesforce.com
3,what does 1 year mean to the planet,461,doe 1 year mean to planet
3,what is feedback mechanism in plants during respiration,462,feedback mechanism plant respiration
3,how fire extinguisher works,463,fire extinguisher work
3,what does righteousness mean,464,doe righteousness mean
3,what does righteousness mean,465,doe righteousness mean
3,what countries are in central america?,466,country central america
3,how does a steam engine work,467,doe steam engine work
3,how does a steam engine work,468,doe steam engine work
3,what county is tacoma washington in,469,county tacoma washington
3,what county is chula vista ca in,470,county chula vista ca
3,what did isaac newton do,471,isaac newton
3,what does the universal law of gravitation state,472,doe universal law gravitation state
3,how does a dim sum restaurant work,473,doe dim sum restaurant work
3,how does a dim sum restaurant work,474,doe dim sum restaurant work
3,how does a dim sum restaurant work,475,doe dim sum restaurant work
3,how many US soldiers killed in Iraq war,476,many u soldier killed iraq war
3,how many planets is jupiter away from the sun?,477,many planet jupiter away sun
3,what city was the convention when gerald ford was nominated,478,city wa convention gerald ford wa nominated
3,how many professional hockey teams in canada,479,many professional hockey team canada
3,what county is northville mi,480,county northville mi
3,what county is northville mi,481,county northville mi
3,how many games did brett favre start in a row,482,many game brett favre start row
3,what does a vote to table a motion mean?,483,doe vote to table motion mean
3,What does the class mean for SDHC cards?,484,doe class mean sdhc card
3,what do porcupines eat,485,porcupine eat
3,what did elijah mccoy invent,486,elijah mccoy invent
3,how many apple store are there in total?,487,many apple store total
3,What does the idea of effective nuclear charge tell us,488,doe idea effective nuclear charge tell u
3,how is jerky made,489,jerky made
3,how is jerky made,490,jerky made
3,what domain is eu,491,domain eu
3,"What does the name ""Meister"" mean in German",492,doe name meister mean german
3,what happened on the moon during the period of Late Heavy Bombardment?,493,happened moon period late heavy bombardment
3,How did Edgar Allan Poe die?,494,edgar allan poe die
3,what did tycho brahe do,495,tycho brahe
3,what did tycho brahe do,496,tycho brahe
3,how many seasons heroes,497,many season hero
3,what holiday is first weekend of september,498,holiday first weekend september
3,how old r Dylan and Cole Sprouse,499,old r dylan cole sprouse
3,what does life insurance cover?,500,doe life insurance cover
3,what does life insurance cover?,501,doe life insurance cover
3,what does life insurance cover?,502,doe life insurance cover
3,how many days does the chinese new year last,503,many day doe chinese new year last
3,what does s.h.i.e.l.d stand for,504,doe s.h.i.e.l.d stand
3,how many consoles has xbox 360 sold,505,many console ha xbox 360 sold
3,how is a backpack made,506,backpack made
3,WHAT COUNTRY IS MEXICO IN,507,country mexico
3,how is slugging percentage calculated,508,slugging percentage calculated
3,what day is st. patricks day,509,day st. patrick day
3,what cheese is made from goat's milk,510,cheese made goat milk
3,what does the federal reserve do,511,doe federal reserve
3,what country is belize in,512,country belize
3,how many books are included in the protestant Bible?,513,many book included protestant bible
3,how many stars on the first american flag,514,many star first american flag
3,how does a cat purr,515,doe cat purr
3,what became of rich on price is right,516,became rich price right
3,what became of rich on price is right,517,became rich price right
3,what county is St. Elizabeth MO in,518,county st. elizabeth mo
3,what county is wilton ca in,519,county wilton ca
3,what happened to stevie ray vaughan,520,happened to stevie ray vaughan
3,how many gold gloves does barry larkin have,521,many gold glove doe barry larkin
3,what caused ww,522,caused ww
3,how did women's role change during the war,523,womens role change war
3,how many seasons were there of the wire,524,many season wire
3,what kind of legal remedy is it to ask someone to fulfill there promise,525,kind legal remedy to ask someone to fulfill promise
3,how is ASP.NET different from .NET,526,asp.net different .net
3,how does lsd impact the human body,527,doe lsd impact human body
3,how does lsd impact the human body,528,doe lsd impact human body
3,how does lsd impact the human body,529,doe lsd impact human body
3,how many people live in memphis tennessee,530,many people live memphis tennessee
3,how many muscles in the human body,531,many muscle human body
3,how did seminole war end,532,seminole war end
3,what county is orono maine in,533,county orono maine
3,what it is a pilot study,534,pilot study
3,how many humps on a camel,535,many hump camel
3,what can be powered by wind,536,powered wind
3,how many nature oceans are on earth,537,many nature ocean earth
3,what county is jacksonville florida in,538,county jacksonville florida
3,what chili wants wiki,539,chili want wiki
3,what does a liquid oxygen plant look like,540,doe liquid oxygen plant look like
3,what division is boise state football,541,division boise state football
3,"What does the term ""mens rea"" mean",542,doe term men rea mean
3,what do UA's detect,543,uas detect
3,how much caffeine is in a shot of espresso,544,much caffeine shot espresso
3,What does Human sperm consist of?,545,doe human sperm consist
3,how did the penguins acquire sidney crosby,546,penguin acquire sidney crosby
3,what does add my two cents mean,547,doe add two cent mean
3,how much total wealth in USA,548,much total wealth usa
3,what does a plus-minus sign mean,549,doe plusminus sign mean
3,what does a plus-minus sign mean,550,doe plusminus sign mean
3,how was the moon formed,551,wa moon formed
3,how was the moon formed,552,wa moon formed
3,what did ronald reagan do as president,553,ronald reagan president
3,what does judgment as a matter of law mean,554,doe judgment matter law mean
3,how many presidents have been assassinated,555,many president assassinated
3,what does oklahoma produce,556,doe oklahoma produce
3,how many redwall books are there,557,many redwall book
3,what date did the american civil war start,558,date american civil war start
3,what does bruce jenner do,559,doe bruce jenner
3,what does alkali do to liquids?,560,doe alkali to liquid
3,what area code is 217,561,area code 217
3,what area code is 217,562,area code 217
3,how jameson irish whiskey is made,563,jameson irish whiskey made
3,what does gloria in excelsis deo mean,564,doe gloria excelsis deo mean
3,what are stocks and bonds,565,stock bond
3,what are stocks and bonds,566,stock bond
3,Who am I?,567,who am i
3,Can you tell me who I am?,568,tell am
3,Do you know who I am?,569,know am
3,Do you remember me?,570,remember
3,Who are you?,571,who are you
3,Can you tell me more about yourself?,572,tell
3,What can you help me with?,573,what can you help me with
3,Are you a real person?,574,real person
3,Can you introduce yourself?,575,introduce
3,what can you do?,576,what can you do
3,what can you do to help me?,577,what can you do to help me
3,Thank you,578,thank
3,Thank you so much,579,thank much
3,Thank you very much,580,thank much
3,Thanks a lot,581,thanks lot
