QuestionID,Question,Answer,Document,intent,cleaned question,cleaned answer
Q12,how are cholera and typhus transmitted and prevented,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.",Cholera,0,cholera typhus transmitted prevented,transmission occurs primarily drinking water eating food contaminated feces waste product infected person including one apparent symptom .
Q13,how did anne frank die,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.",Anne Frank,6,anne frank die,anne frank sister margot eventually transferred bergenbelsen concentration camp died typhus march 1945 .
Q14,how are aircraft radial engines built,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.,Radial engine,0,aircraft radial engine built,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel .
Q15,how deep can be drill for deep underwater,Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.,Deepwater drilling,0,deep drill deep underwater,deepwater drilling process oil gas exploration production depth 500 foot .
Q16,how old was monica lewinsky during the affair,"Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996.",Monica Lewinsky,0,old monica lewinsky affair,monica samille lewinsky born july 23 1973 american woman united state president bill clinton admitted improper relationship worked white house 1995 1996 .
Q17,how long was frank sinatra famous,"Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.",Frank Sinatra,0,long frank sinatra famous,beginning musical career swing era harry james tommy dorsey sinatra found unprecedented success solo artist early mid1940s signed columbia record 1943 .
Q18,how are antibodies used in,"An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses .",antibody,9,antibody used,antibody ab also known immunoglobulin ig large yshaped protein produced bcells used immune system identify neutralize foreign object bacteria virus .
Q19,how are antibodies used in,"The antibody recognizes a unique part of the foreign target, called an antigen .",antibody,9,antibody used,antibody recognizes unique part foreign target called antigen .
Q20,how are antibodies used in,"Each tip of the ""Y"" of an antibody contains a paratope (a structure analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision.",antibody,9,antibody used,tip antibody contains paratope structure analogous lock specific one particular epitope similarly analogous key antigen allowing two structure bind together precision .
Q21,how are antibodies used in,"Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival).",antibody,9,antibody used,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival .
Q22,how much is jk rowling worth,"The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.",J. K. Rowling,0,much jk rowling worth,2008 sunday time rich list estimated rowlings fortune £560 million 798 million ranking twelfth richest woman united kingdom .
Q23,how big is auburndale florida,"According to the U.S Census estimates of 2005, the city had a population of 12,381.","Auburndale, Florida",0,big auburndale florida,according u.s census estimate 2005 city population 12381 .
Q24,"how old is kirk douglas, the actor?","Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.",Kirk Douglas,0,old kirk douglas actor,kirk douglas born issur danielovitch december 9 1916 american stage film actor film producer author .
Q25,how old is the singer bob seger,"Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist .",Bob Seger,0,old singer bob seger,robert clark bob seger born may 6 1945 american rock roll singersongwriter guitarist pianist .
Q26,how long was i love lucy on the air,"The black-and-white series originally ran from October 15, 1951, to May 6, 1957, on the Columbia Broadcasting System (CBS).",I Love Lucy,0,long love lucy air,blackandwhite series originally ran october 15 1951 may 6 1957 columbia broadcasting system cbs .
Q27,how long was richard nixon a president,"Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.",Richard Nixon,0,long richard nixon president,richard milhous nixon january 9 1913 – april 22 1994 37th president united state serving 1969 1974 became president resign office .
Q28,HOW MUCH IS CENTAVOS IN MEXICO,"The peso is subdivided into 100 centavos, represented by "" ¢ "".",Mexican peso,0,much centavo mexico,peso subdivided 100 centavo represented ¢ .
Q29,How long was Mickie James with WWE?,"James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year.",Mickie James,0,long mickie james wwe,james appeared world wrestling entertainment wwe october 2005 placed storyline trish stratus james gimmick stratus biggest fan turned obsessed stalker angle lasted almost year .
Q30,how did armando christian perez become famous,"Armando Pérez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer.",Pitbull (entertainer),0,armando christian perez become famous,armando pérez born january 15 1981 better known stage name pitbull american rapper songwriter record producer .
Q31,how old were the twin towers when destroyed,"The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.",World Trade Center,0,old twin tower destroyed,original world trade center featured landmark twin tower opened april 4 1973 destroyed september 11 attack 2001 along 7 world trade center .
Q32,how are the # of electrons in each shell determined,"Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on.",Electron shell,0,electron shell determined,shell contain fixed number electron 1st shell hold two electron 2nd shell hold eight electron 3rd shell hold 18 4th shell hold 32 .
Q33,how many presidents of the us,"There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president.",List of Presidents of the United States,0,many president u,43 people sworn office 44 presidency grover cleveland served two nonconsecutive term counted chronologically 22nd 24th president .
Q34,how old is beatrice author,"Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades.",Bea Arthur,0,old beatrice author,beatrice bea arthur may 13 1922 – april 25 2009 american actress comedienne singer whose career spanned seven decade .
Q35,how are public schools funded,"State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation .",state school,0,public school funded,state school also known public school government school generally refer primary secondary school mandated offered child without charge paid whole part taxation .
Q36,how are public schools funded,"The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government.",state school,0,public school funded,term may also refer institution postsecondary education funded whole part overseen government .
Q37,what happens  to the light independent reactions of photosynthesis?,The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .,Light-independent reactions,0,happens light independent reaction photosynthesis,lightindependent reaction photosynthesis chemical reaction convert carbon dioxide compound glucose .
Q38,what happens  to the light independent reactions of photosynthesis?,These reactions take the light-dependent reactions and perform further chemical processes on them.,Light-independent reactions,0,happens light independent reaction photosynthesis,reaction take lightdependent reaction perform chemical process .
Q39,how does interlibrary loan work,"Interlibrary loan (abbreviated ILL, and sometimes called interloan, document delivery, or document supply) is a service whereby a user of one library can borrow books or receive photocopies of documents that are owned by another library.",Interlibrary loan,0,interlibrary loan work,interlibrary loan abbreviated ill sometimes called interloan document delivery document supply service whereby user one library borrow book receive photocopy document owned another library .
Q40,how does interlibrary loan work,"The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return.",Interlibrary loan,0,interlibrary loan work,user make request local library acting intermediary identifies owner desired item place request receives item make available user arranges return .
Q41,what did mia hamm do his work,"Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player.",Mia Hamm,0,mia hamm work,mariel margaret mia hamm born march 17 1972 retired american professional soccer player .
Q42,what bacteria grow on macconkey agar,MacConkey agar is a culture medium designed to grow Gram-negative bacteria and differentiate them for lactose fermentation .,MacConkey agar,0,bacteria grow macconkey agar,macconkey agar culture medium designed grow gramnegative bacteria differentiate lactose fermentation .
Q43,what countries are under the buddhism religion,"This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam.",Buddhism by country,7,country buddhism religion,predominant form buddhism practiced china south korea japan taiwan singapore vietnam .
Q44,how did wild bill's father die,"He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota ).",Wild Bill Hickok,6,wild bill father die,shot killed playing poker nuttal mann saloon deadwood dakota territory south dakota .
Q45,how many land rovers have landed on mars,There have been four successful robotically operated Mars rovers.,Mars rover,0,many land rover landed mar,four successful robotically operated mar rover .
Q46,how do forensic auditors examine financial reporting,"The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework.",Financial audit,0,forensic auditor examine financial reporting,audit opinion intended provide reasonable assurance absolute assurance financial statement presented fairly material respect andor give true fair view accordance financial reporting framework .
Q47,how do forensic auditors examine financial reporting,"The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements.",Financial audit,0,forensic auditor examine financial reporting,purpose audit provide objective independent examination financial statement increase value credibility financial statement produced management thus increase user confidence financial statement reduce investor risk consequently reduce cost capital preparer financial statement .
Q48,how do forensic auditors examine financial reporting,Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.,Financial audit,0,forensic auditor examine financial reporting,financial audit typically performed firm practicing accountant expert financial reporting .
Q49,what bird family is the owl,"Owls are a group of birds that belong to the order Strigiformes, constituting 200 extant bird of prey species .",Owl,0,bird family owl,owl group bird belong order strigiformes constituting 200 extant bird prey specie .
Q50,how did harmon killebrew get strong,"With quick hands and exceptional upper-body strength, Killebrew was known not just for the frequency of his home runs but also for their distance.",Harmon Killebrew,0,harmon killebrew get strong,quick hand exceptional upperbody strength killebrew known frequency home run also distance .
Q51,What did the augurs use to interpret the will of the gods?,"His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone, what noises they make as they fly, direction of flight and what kind of birds they are.",Augur,0,augur use interpret god,main role interpret god studying flight bird whether flying group alone noise make fly direction flight kind bird .
Q52,How much did Waterboy grossed,"The movie was extremely profitable, earning $161.5 million in North America alone.",The Waterboy,0,much waterboy grossed,movie extremely profitable earning 161.5 million north america alone .
Q53,"What county is Farmington Hills, MI in?",It is the second largest city in Oakland County in the U.S. state of Michigan .,"Farmington Hills, Michigan",3,county farmington hill mi,second largest city oakland county u.s. state michigan .
Q54,what does a groundhog look for on groundhog day,"According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks.",Groundhog Day,0,groundhog look groundhog day,according folklore cloudy groundhog emerges burrow day spring come early sunny groundhog supposedly see shadow retreat back burrow winter weather continue six week .
Q55,What committees are joint committees,A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.,Joint committee,0,committee joint committee,joint committee term politics used refer committee made member chamber bicameral legislature .
Q56,how many stripes on the flag,The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.,Flag of the United States,8,many stripe flag,50 star flag represent 50 state united state america 13 stripe represent thirteen british colony declared independence kingdom great britain became first state union .
Q57,How many states and territories are within India?,India is a federal union of states comprising twenty-eight states and seven union territories .,States and territories of India,0,many state territory within india,india federal union state comprising twentyeight state seven union territory .
Q58,how is whooping cough distinguished from similar diseases,"Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched ""whoop"" sound in infected babies and children when they inhale air after coughing.",Pertussis,0,whooping cough distinguished similar disease,symptom initially mild develop severe coughing fit produce namesake highpitched whoop sound infected baby child inhale air coughing .
Q59,how is whooping cough distinguished from similar diseases,The coughing stage lasts approximately six weeks before subsiding.,Pertussis,0,whooping cough distinguished similar disease,coughing stage last approximately six week subsiding .
Q60,what county is galveston in texas,Galveston County is a county located in the U.S. state of Texas within the Houston–Sugar Land–Baytown metropolitan area.,"Galveston County, Texas",3,county galveston texas,galveston county county located u.s. state texas within houston–sugar land–baytown metropolitan area .
Q61,what cities are in the bahamas,Nassau,List of cities in the Bahamas,1,city bahamas,nassau
Q62,what cities are in the bahamas,"Freeport, Bahamas",List of cities in the Bahamas,1,city bahamas,freeport bahamas
Q63,how many schools are in the big ten,"Its twelve member institutions (which are primarily flagship research universities in their respective states, well-regarded academically, and with relatively large student enrollment) are located primarily in the Midwest , stretching from Nebraska in the west to Penn State in the east.",Big Ten Conference,0,many school big ten,twelve member institution primarily flagship research university respective state wellregarded academically relatively large student enrollment located primarily midwest stretching nebraska west penn state east .
Q64,how is single malt scotch made,"Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient.",Single malt Scotch,0,single malt scotch made,single malt scotch single malt whisky made scotland using pot still distillation process single distillery malted barley grain ingredient .
Q65,how is single malt scotch made,"As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer).",Single malt Scotch,0,single malt scotch made,scotch whisky single malt scotch must distilled scotland matured oak cask scotland least three year single malt matured longer .
Q66,what composer used sound mass,"Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963–1964), and Nancy Van de Vate .",Sound mass,9,composer used sound mass,composer work include barbara kolb pauline oliveros sound pattern chorus 1961 norma beecroft dream brass chorus 1963–1964 nancy van de vate .
Q67,what composer used sound mass,"A very early example is the opening of Jean-Féry Rebel 's ballet Les Elémens (1737–38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52–54).",Sound mass,9,composer used sound mass,early example opening jeanféry rebel ballet le elémens 1737–38 chaos represented gradually cumulating orchestral cluster seven note minor scale henck 2004 pp . 52–54 .
Q68,what composer used sound mass,A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music serves as an example.,Sound mass,9,composer used sound mass,later example third movement ruth crawford seeger string quartet 1931 nonesuch h71280 recently phill niblock multiple drone based music serf example .
Q69,what composer used sound mass,"The use of ""chords approaching timbres"" begins with Debussy and Edgard Varèse often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21).",Sound mass,9,composer used sound mass,use chord approaching timbre begin debussy edgard varèse often carefully scored individual instrumental part would fuse one ensemble timbre sound mass erickson 1975 pp . 18 21 .
Q70,what composer used sound mass,"Other examples include European ""textural"" compositions of the fifties and sixties such as Krzysztof Penderecki 's Threnody to the Victims of Hiroshima (1959) and György Ligeti 's works featuring micropolyphony in works like Atmosphères (1961) and his Requiem (1963-65).",Sound mass,9,composer used sound mass,example include european textural composition fifty sixty krzysztof penderecki threnody victim hiroshima 1959 györgy ligeti work featuring micropolyphony work like atmosphères 1961 requiem 196365 .
Q71,what composer used sound mass,"Other composers with works using this technique include Henryk Górecki , Karel Husa , Witold Lutosławski , Kazimierz Serocki , and Steven Stucky .",Sound mass,9,composer used sound mass,composer work using technique include henryk górecki karel husa witold lutosławski kazimierz serocki steven stucky .
Q72,what composer used sound mass,Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).,Sound mass,9,composer used sound mass,sound mass technique also appear music george crumb anon . n.d ..
Q73,How Do You Play Spades,The object is to take at least the number of tricks that were bid before play of the hand began.,Spades,0,play spade,object take least number trick bid play hand began .
Q74,what continent is australia,"Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands.",Australia (continent),0,continent australia,australia continent comprising mainland australia tasmania new guinea seram possibly timor neighbouring island .
Q75,what causes heart disease,The causes of cardiovascular disease are diverse but atherosclerosis and/or hypertension are the most common.,Cardiovascular disease,0,cause heart disease,cause cardiovascular disease diverse atherosclerosis andor hypertension common .
Q76,what countries did immigrants come from during the immigration,"The history of immigration to the United States is a continuing story of peoples from more populated continents, particularly Europe and also Africa and Asia, crossing oceans to the new land.",History of immigration to the United States,7,country immigrant come immigration,history immigration united state continuing story people populated continent particularly europe also africa asia crossing ocean new land .
Q77,what countries did immigrants come from during the immigration,Starting around 1600 British and other Europeans settled primarily on the east coast .,History of immigration to the United States,7,country immigrant come immigration,starting around 1600 british european settled primarily east coast .
Q78,how many people live in atlanta georgia,"Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427.",Atlanta,0,many people live atlanta georgia,atlanta stressed locally capital populous city u.s. state georgia estimated 2011 population 432427 .
Q79,how many people live in atlanta georgia,"Atlanta is the cultural and economic center of the Atlanta metropolitan area , home to 5,457,831 people and the ninth largest metropolitan area in the United States.",Atlanta,0,many people live atlanta georgia,atlanta cultural economic center atlanta metropolitan area home 5457831 people ninth largest metropolitan area united state .
Q80,what does it mean to be a commonwealth state,Commonwealth is a traditional English term for a political community founded for the common good.,Commonwealth,0,mean commonwealth state,commonwealth traditional english term political community founded common good .
Q81,how long can you be in the supreme court,"Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment .",Supreme Court of the United States,0,long supreme court,appointed justice life tenure unless resign retire removed impeachment .
Q82,what county in texas is conroe located in,Conroe is the seat of Montgomery County and falls within the metropolitan area.,"Conroe, Texas",2,county texas conroe located,conroe seat montgomery county fall within metropolitan area .
Q83,what can sql 2005 do,"As a database, it is a software product whose primary function is to store and retrieve data as requested by other software applications, be it those on the same computer or those running on another computer across a network (including the Internet).",Microsoft SQL Server,0,sql 2005,database software product whose primary function store retrieve data requested software application computer running another computer across network including internet .
Q84,how many people were killed in the oklahoma city bombing,"The Oklahoma blast claimed 168 lives, including 19 children under the age of 6, and injured more than 680 people.",Oklahoma City bombing,1,many people killed oklahoma city bombing,oklahoma blast claimed 168 life including 19 child age 6 injured 680 people .
Q85,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,"Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold – in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position.",ARIA Music Awards,0,group took home award best rock album australian recording industry association aria music award,winning even nominated aria award result lot medium attention artist usually increase recording sale severalfold – 2005 example ben lee three award album awake new sleep jumped . 31 . 5 aria chart highest position .
Q86,how does a dredge work?,"Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location.",Dredging,0,dredge work,dredging excavation activity operation usually carried least partly underwater shallow sea fresh water area purpose gathering bottom sediment disposing different location .
Q87,how does a dredge work?,"A dredger (or “dredge” as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water.",Dredging,0,dredge work,dredger “ dredge ” general usage america device machine vessel used excavate remove material bottom body water .
Q88,how does a dredge work?,"For example, a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger.",Dredging,0,dredge work,example scoop attached end rope pole man draw sediment bottom pond dredger .
Q89,how does a dredge work?,"Developing this idea further, a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger.",Dredging,0,dredge work,developing idea motorized crane equipped drag bucket clamshell grabber used scoop material bottom body water also dredger .
Q90,how does a dredge work?,"If the crane is mounted on a barge, the entire vessel is referred to as a dredger.",Dredging,0,dredge work,crane mounted barge entire vessel referred dredger .
Q91,what did benedict arnold die,"He returned to London to settle permanently in 1791, where he died ten years later.",Benedict arnold,6,benedict arnold die,returned london settle permanently 1791 died ten year later .
Q92,how many world series did curt schilling have,He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox .,Curt Schilling,0,many world series curt schilling,helped lead philadelphia phillies world series world series championship arizona diamondback boston red sox .
Q93,how many ports are there in networking,"Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host.",Port (computer networking),0,many port networking,thousand enumerated port 250 wellknown port reserved convention identify specific service type host .
Q94,what area code is 479,"Area code 479 is the telephone area code serving thirteen counties in northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville : the second, third, fourth, eighth and tenth-largest cities in the state, respectively.",Area code 479,0,area code 479,area code 479 telephone area code serving thirteen county northwest arkansas including city fort smith fayetteville springdale rogers bentonville second third fourth eighth tenthlargest city state respectively .
Q95,what area code is 479,"Area code 479 serves Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas.",Area code 479,0,area code 479,area code 479 serf benton carroll split area code 870 crawford franklin johnson logan madison polk pope scott sebastian washington yell county arkansas .
Q96,what does arraignment mean,Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.,Arraignment,0,arraignment mean,arraignment formal reading criminal charging document presence defendant inform defendant charge .
Q97,what did chaucer do,"While he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat.",Geoffrey Chaucer,0,chaucer,achieved fame lifetime author philosopher alchemist astronomer composing scientific treatise astrolabe ten yearold son lewis chaucer also maintained active career civil service bureaucrat courtier diplomat .
Q98,what did chaucer do,"Chaucer is a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin.",Geoffrey Chaucer,0,chaucer,chaucer crucial figure developing legitimacy vernacular middle english time dominant literary language england french latin .
Q99,what does am and pm stand for,"The 12-hour clock is a time convention in which the 24 hours of the day are divided into two periods: a.m. (from the Latin ante meridiem, meaning ""before midday"") and p.m. (post meridiem, ""after midday"").",12-hour clock,0,pm stand,12hour clock time convention 24 hour day divided two period a.m. latin ante meridiem meaning midday p.m. post meridiem midday .
Q100,how is canada's health care,"A 2007 review of all studies comparing health outcomes in Canada and the US in a Canadian peer-reviewed medical journal found that ""health outcomes may be superior in patients cared for in Canada versus the United States, but differences are not consistent.""",Comparison of the health care systems in Canada and the United States,0,canada health care,2007 review study comparing health outcome canada u canadian peerreviewed medical journal found health outcome may superior patient cared canada versus united state difference consistent .
Q101,how many xbox 360 games are there,"There are currently 952 games (multiplatform: 751; exclusive: 123; console exclusive: 78) on this list as of April 2, 2013.",List of Xbox 360 games,0,many xbox 360 game,currently 952 game multiplatform 751 exclusive 123 console exclusive 78 list april 2 2013 .
Q102,how do pineapples grow,"Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20–24 months and fruiting in the following six months.",Pineapple,0,pineapple grow,pineapple may cultivated crown cutting fruit possibly flowering 20–24 month fruiting following six month .
Q103,what country did wine originate in,"Archaeological evidence suggests that the earliest known wine production occurred in what is now the country of Georgia around 7000 BCE, with other notable sites in Greater Iran dated 4500 BCE and Armenia 4100 BCE, respectively.",History of wine,7,country wine originate,archaeological evidence suggests earliest known wine production occurred country georgia around 7000 bce notable site greater iran dated 4500 bce armenia 4100 bce respectively .
Q104,how many district are in west bengal,"In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India .",List of districts of West Bengal,0,many district west bengal,1947 india gained independence state west bengal formed 14 district per partition plan bengal province british india .
Q105,how many towns in new hampshire,This is a list of the 221 towns and 13 cities in the U.S. state of New Hampshire .,List of cities and towns in New Hampshire,0,many town new hampshire,list 221 town 13 city u.s. state new hampshire .
Q106,what does salesforce.com do?,"Though best known for its customer relationship management (CRM) product, Salesforce has also expanded into the ""social enterprise arena"" through acquisitions.",Salesforce.com,0,salesforce.com,though best known customer relationship management crm product salesforce also expanded social enterprise arena acquisition .
Q107,what does 1 year mean to the planet,"During one orbit around the Sun, the Earth rotates about its own axis 366.26 times, creating 365.26 solar days , or one sidereal year .",Earth,0,1 year mean planet,one orbit around sun earth rotates axis 366.26 time creating 365.26 solar day one sidereal year .
Q108,what is feedback mechanism in plants during respiration,"Cellular respiration is the set of the metabolic reactions and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products.",Cellular respiration,0,feedback mechanism plant respiration,cellular respiration set metabolic reaction process take place cell organism convert biochemical energy nutrient adenosine triphosphate atp release waste product .
Q109,how fire extinguisher works,"Cartridge-operated extinguishers contain the expellant gas in a separate cartridge that is punctured prior to discharge, exposing the propellant to the extinguishing agent.",Fire extinguisher,0,fire extinguisher work,cartridgeoperated extinguisher contain expellant gas separate cartridge punctured prior discharge exposing propellant extinguishing agent .
Q110,what does righteousness mean,"Righteousness (also called rectitude) is an important theological concept in Christianity , Judaism , Islam , Hinduism (dharma), and Zoroastrianism .",Righteousness,0,righteousness mean,righteousness also called rectitude important theological concept christianity judaism islam hinduism dharma zoroastrianism .
Q111,what does righteousness mean,"It is an attribute that implies that a person's actions are justified, and can have the connotation that the person has been ""judged"" or ""reckoned"" as leading a life that is pleasing to the god/s portrayed in these belief systems.",Righteousness,0,righteousness mean,attribute implies person action justified connotation person judged reckoned leading life pleasing god portrayed belief system .
