intent,answer,number
2,The coastal highway is a beautiful drive.,228
2,There's a park just a few blocks away.,229
2,"Yes, there are several good cafes nearby.",230
2,Try the restaurant at the corner of Main Street.,231
2,The nearest grocery store is two streets over.,232
2,There's a museum downtown worth visiting.,233
2,Fresh fruits can be found at the local market.,234
2,The city library is on 1st Avenue.,235
2,There's a peaceful garden near the community center.,236
2,The riverside trail is great for a walk.,237
2,"Yes, there is a concert happening tonight.",238
2,There's a popular diner around the corner.,239
2,The nearest hospital is on 3rd Street.,240
2,There is a playground in the central park.,241
2,The mall offers many great shopping options.,242
2,There's a bookstore two blocks down.,243
2,The coffee shop on Main Street is very popular.,244
2,There's a gym next to the community center.,245
2,The bakery across the street has fresh bread.,246
2,The farmers' market is just down the road.,247
2,The public pool is open daily for swimming.,248
3,"I don't have a favorite color, but I appreciate all of them!",249
3,I enjoy chatting and helping people. That's kind of my hobby.,250
3,"I don't watch movies, but I'd love to hear your favorite one!",251
3,I like hearing about music! What's your favorite genre?,252
3,"I'm happy where I am, helping you!",253
3,"I don't have a pet, but virtual pets are fun!",254
3,"Every season has its charm, don't you think?",255
3,"No, but I'd love to hear about your travels!",256
3,"I don't eat, but food sounds interesting! What's yours?",257
3,I think reading is wonderful! What book do you like?,258
3,"Holidays bring joy, don't they?",259
3,"I'd love to be able to help even faster, like instant answers!",260
3,Sports can be interesting! What sport do you like?,261
3,"I don't have one, but I'd be happy to hear about yours!",262
3,Animals are fascinating! Do you have a favorite one?,263
3,I can help find recipes! Do you like to cook?,264
3,"I haven't, but trying new things sounds exciting!",265
3,"I don't drink, but I've heard both can be delicious!",266
3,"I haven't traveled, but I'd love to hear about your favorite places!",267
3,I believe in making the most of every moment!,268
3,"I don't have memories, but I love hearing yours!",269
3,Great advice always makes a difference! What's yours?,270
3,I'd choose somewhere you love! Tell me about it.,271
3,"I admire kindness, curiosity, and passion in people.",272
3,Trying new things can be an adventure!,273
3,I think every moment can be special depending on who you share it with!,274
3,Creativity brings new life into the world.,275
3,"I don't have one, but I'd love to hear a funny joke!",276
3,My wish is to help you!,277
3,I'm ready whenever you are!,278
3,Technology and simple innovations amaze me equally.,279
3,I'd love to learn how to make anyone smile instantly!,280
3,Puzzles can be exciting! Have a favorite one?,281
3,Every type of weather has its beauty!,282
3,"Absolutely, new things broaden horizons!",283
3,Your happiness makes me smile!,284
3,To make the world a better place for everyone!,285
3,Words shape our thoughts. What's yours?,286
3,Inspiration sparks positive change!,287
3,Games can be so much fun! Which ones do you like?,288
3,"A good friend listens, understands, and supports.",289
3,Quotes can be deeply motivating. What's yours?,290
3,Seeing possibilities is hopeful!,291
3,Humor makes life lighter and more fun!,292
3,Positivity and kindness for all!,293
3,Giving people a chance to improve is kind.,294
3,Learning enriches us all!,295
3,Nature brings peace. Do you enjoy being outside?,296
3,Taking time to unwind is vital!,297
3,The past is full of lessons and wonders.,298
3,Knowledge is an unending pursuit.,299
3,Spontaneity brings excitement!,300
3,Childhood memories shape who we become.,301
3,Working together sparks creativity and strength!,302
3,Pride comes from striving towards goals!,303
3,Experiencing new cuisines brings new perspectives!,304
3,Entertainment connects and entertains us!,305
3,Secrets are precious when held with care.,306
3,Habits can be hard to break but offer growth!,307
3,"Every animal has unique traits, like us!",308
3,"Planning can be useful, but spontaneity brings life!",309
3,Curiosity drives everything interesting!,310
3,Big leaps can lead to big changes!,311
3,Purpose drives us forward!,312
3,Free time brings endless possibilities!,313
3,Dreams keep us hopeful!,314
3,Knowledge is ever-expanding!,315
3,Being surprised can be delightful!,316
3,Role models inspire us to grow!,317
3,Laughter brings joy!,318
3,Challenges test our limits and build strength!,319
3,Destiny can be intriguing! What's your view?,320
3,A day spent making others smile would be perfect for me.,321
3,Technology fascinates me! How about you?,322
3,I'd say connection and purpose!,323
3,Meeting new people is always an opportunity to learn!,324
3,Starting the day with positivity is important!,325
3,"I appreciate both, depending on the mood.",326
3,Progress towards helping others always matters to me!,327
3,Anywhere you find joy and purpose!,328
3,Everyone has a story worth hearing!,329
3,Every gift is special if it's given with care.,330
3,"Both thinking and doing are essential, don't you agree?",331
3,Love brings out the best in people!,332
3,Improvement is a continuous journey.,333
3,I'm full of potential _ what about you?,334
3,Enjoying moments of reflection and creativity!,335
3,Every morning brings new opportunities!,336
3,Discovering new ideas is exciting!,337
3,Planning can make dreams come true!,338
3,Growth comes from self-reflection.,339
3,Surprises keep life interesting!,340
3,Tough choices shape who we become!,341
3,Calculated risks bring growth!,342
3,Every memory holds something special.,343
3,New experiences broaden perspectives!,344
3,Multitasking with focus brings results.,345
3,Dream destinations open doors to discovery!,346
3,Karma reminds us to act kindly.,347
3,Engaging in meaningful conversations makes my day!,348
3,Small wins lead to big successes!,349
3,"As such, African immigrants are to be distinguished from African American people, the latter of whom are descendants of mostly West and Central Africans who were involuntarily brought to the United States by means of the historic Atlantic slave trade .",350
3,A glacier cave is a cave formed within the ice of a glacier .,351
3,"Pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.",352
3,"Employing over 6,000, BMC is often credited with pioneering the BSM concept as a way to help better align IT operations with business needs.",353
3,"For 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year.",354
3,This tablespoon has a capacity of about 15 mL.,355
3,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.,356
3,In Australia one tablespoon (measurement unit) is 20 mL.,357
3,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.",358
3,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .",359
3,"The actress who played Lolita, Sue Lyon , was fourteen at the time of filming.",360
3,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.",361
3,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.",362
3,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.,363
3,Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.,364
3,"Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996.",365
3,"Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.",366
3,"An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses .",367
3,"The antibody recognizes a unique part of the foreign target, called an antigen .",368
3,"Each tip of the ""Y"" of an antibody contains a paratope (a structure analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision.",369
3,"Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival).",370
3,"The 2008 Sunday Times Rich List estimated Rowling's fortune at ________£560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.",371
3,"According to the U.S Census estimates of 2005, the city had a population of 12,381.",372
3,"Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.",373
3,"Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist .",374
3,"The black-and-white series originally ran from October 15, 1951, to May 6, 1957, on the Columbia Broadcasting System (CBS).",375
3,"Richard Milhous Nixon (January 9, 1913 _ April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.",376
3,"The peso is subdivided into 100 centavos, represented by "" ________¢ "".",377
3,"James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year.",378
3,"Armando P________©rez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer.",379
3,"The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.",380
3,"Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on.",381
3,"There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president.",382
3,"Beatrice ""Bea"" Arthur (May 13, 1922 _ April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades.",383
3,"State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation .",384
3,"The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government.",385
3,The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .,386
3,These reactions take the light-dependent reactions and perform further chemical processes on them.,387
3,"Interlibrary loan (abbreviated ILL, and sometimes called interloan, document delivery, or document supply) is a service whereby a user of one library can borrow books or receive photocopies of documents that are owned by another library.",388
3,"The user makes a request with their local library, which, acting as an intermediary, identifies owners of the desired item, places the request, receives the item, makes it available to the user, and arranges for its return.",389
3,"Mariel Margaret ""Mia"" Hamm (born March 17, 1972) is a retired American professional soccer player.",390
3,MacConkey agar is a culture medium designed to grow Gram-negative bacteria and differentiate them for lactose fermentation .,391
3,"This is the predominant form of Buddhism practiced in China, South Korea, Japan, Taiwan, Singapore, and Vietnam.",392
3,"He was shot and killed while playing poker in the Nuttal & Mann's Saloon in Deadwood , Dakota Territory (now South Dakota ).",393
3,There have been four successful robotically operated Mars rovers.,394
3,"The audit opinion is intended to provide reasonable assurance, but not absolute assurance, that the financial statements are presented fairly, in all material respects, and/or give a true and fair view in accordance with the financial reporting framework.",395
3,"The purpose of an audit is provide and objective independent examination of the financial statements, which increases the value and credibility of the financial statements produced by management, thus increase user confidence in the financial statement, reduce investor risk and consequently reduce the cost of capital of the preparer of the financial statements.",396
3,Financial audits are typically performed by firms of practicing accountants who are experts in financial reporting.,397
3,"Owls are a group of birds that belong to the order Strigiformes, constituting 200 extant bird of prey species .",398
3,"With quick hands and exceptional upper-body strength, Killebrew was known not just for the frequency of his home runs but also for their distance.",399
3,"His main role was to interpret the will of the gods by studying the flight of birds : whether they are flying in groups or alone, what noises they make as they fly, direction of flight and what kind of birds they are.",400
3,"The movie was extremely profitable, earning $161.5 million in North America alone.",401
3,It is the second largest city in Oakland County in the U.S. state of Michigan .,402
3,"According to folklore, if it is cloudy when a groundhog emerges from its burrow on this day, then spring will come early; if it is sunny, the groundhog will supposedly see its shadow and retreat back into its burrow, and the winter weather will continue for six more weeks.",403
3,A Joint Committee is a term in politics that is used to refer to a committee made up of members of both chambers of a bicameral legislature.,404
3,The 50 stars on the flag represent the 50 states of the United States of America and the 13 stripes represent the thirteen British colonies that declared independence from the Kingdom of Great Britain and became the first states in the Union.,405
3,India is a federal union of states comprising twenty-eight states and seven union territories .,406
3,"Symptoms are initially mild, and then develop into severe coughing fits, which produce the namesake high-pitched ""whoop"" sound in infected babies and children when they inhale air after coughing.",407
3,The coughing stage lasts approximately six weeks before subsiding.,408
3,Galveston County is a county located in the U.S. state of Texas within the Houston__ugar Land__aytown metropolitan area.,409
3,Nassau,410
3,"Freeport, Bahamas",411
3,"Its twelve member institutions (which are primarily flagship research universities in their respective states, well-regarded academically, and with relatively large student enrollment) are located primarily in the Midwest , stretching from Nebraska in the west to Penn State in the east.",412
3,"Single Malt Scotch is single malt whisky made in Scotland using a pot still distillation process at a single distillery , with malted barley as the only grain ingredient.",413
3,"As with any Scotch whisky , a single malt Scotch must be distilled in Scotland and matured in oak casks in Scotland for at least three years (most single malts are matured longer).",414
3,"Composers and works include Barbara Kolb , Pauline Oliveros ' Sound Patterns for chorus (1961), Norma Beecroft 's From Dreams of Brass for chorus (1963_1964), and Nancy Van de Vate .",415
3,"A very early example is the opening of Jean-F________©ry Rebel 's ballet Les El________©mens (1737_38), where chaos is represented by a gradually cumulating orchestral cluster of all seven notes of the D minor scale (Henck 2004, pp. 52_54).",416
3,A later example is the third movement of Ruth Crawford Seeger 's String Quartet 1931 (Nonesuch H-71280) while more recently Phill Niblock 's multiple drone based music serves as an example.,417
3,"The use of ""chords approaching timbres"" begins with Debussy and Edgard Var________¨se often carefully scored individual instrumental parts so that they would fuse into one ensemble timbre or sound mass (Erickson 1975, pp. 18 and 21).",418
3,"Other examples include European ""textural"" compositions of the fifties and sixties such as Krzysztof Penderecki 's Threnody to the Victims of Hiroshima (1959) and Gy________¶rgy Ligeti 's works featuring micropolyphony in works like Atmosph________¨res (1961) and his Requiem (1963-65).",419
3,"Other composers with works using this technique include Henryk G________³recki , Karel Husa , Witold Lutos_awski , Kazimierz Serocki , and Steven Stucky .",420
3,Sound mass techniques also appear in the music of George Crumb (Anon. n.d.).,421
3,The object is to take at least the number of tricks that were bid before play of the hand began.,422
3,"Australia is a continent comprising mainland Australia , Tasmania , New Guinea , Seram , possibly Timor , and neighbouring islands.",423
3,The causes of cardiovascular disease are diverse but atherosclerosis and/or hypertension are the most common.,424
3,"The history of immigration to the United States is a continuing story of peoples from more populated continents, particularly Europe and also Africa and Asia, crossing oceans to the new land.",425
3,Starting around 1600 British and other Europeans settled primarily on the east coast .,426
3,"Atlanta (, stressed , locally ) is the capital of and the most populous city in the U.S. state of Georgia , with an estimated 2011 population of 432,427.",427
3,"Atlanta is the cultural and economic center of the Atlanta metropolitan area , home to 5,457,831 people and the ninth largest metropolitan area in the United States.",428
3,Commonwealth is a traditional English term for a political community founded for the common good.,429
3,"Once appointed, justices have life tenure unless they resign, retire, or are removed after impeachment .",430
3,Conroe is the seat of Montgomery County and falls within the metropolitan area.,431
3,"As a database, it is a software product whose primary function is to store and retrieve data as requested by other software applications, be it those on the same computer or those running on another computer across a network (including the Internet).",432
3,"The Oklahoma blast claimed 168 lives, including 19 children under the age of 6, and injured more than 680 people.",433
3,"Winning, or even being nominated for, an ARIA award results in a lot of media attention on an artist, and usually increases recording sales several-fold _ in 2005 , for example, after Ben Lee won three awards, his album Awake Is the New Sleep jumped from No. 31 to No. 5 in the ARIA Charts , its highest position.",434
3,"Dredging is an excavation activity or operation usually carried out at least partly underwater, in shallow seas or fresh water areas with the purpose of gathering up bottom sediments and disposing of them at a different location.",435
3,"A dredger (or __redge_ as is the general usage in the Americas) is any device, machine, or vessel that is used to excavate and remove material from the bottom of a body of water.",436
3,"For example, a scoop attached to the end of a rope or pole by which a man can draw sediments up from the bottom of a pond is a dredger.",437
3,"Developing this idea further, a motorized crane equipped with a drag bucket or clamshell (grabber) that is used to scoop material from the bottom of a body of water is also a dredger.",438
3,"If the crane is mounted on a barge, the entire vessel is referred to as a dredger.",439
3,"He returned to London to settle permanently in 1791, where he died ten years later.",440
3,He helped lead the Philadelphia Phillies to the World Series in and won World Series championships in with the Arizona Diamondbacks and in and with the Boston Red Sox .,441
3,"Of the thousands of enumerated ports, about 250 well-known ports are reserved by convention to identify specific service types on a host.",442
3,"Area code 479 is the telephone area code serving thirteen counties in northwest Arkansas , including the cities of Fort Smith , Fayetteville , Springdale , Rogers and Bentonville : the second, third, fourth, eighth and tenth-largest cities in the state, respectively.",443
3,"Area code 479 serves Benton , Carroll (split with area code 870 ), Crawford , Franklin , Johnson , Logan , Madison , Polk , Pope , Scott , Sebastian , Washington and Yell Counties in Arkansas.",444
3,Arraignment is a formal reading of a criminal charging document in the presence of the defendant to inform the defendant of the charges against him or her.,445
3,"While he achieved fame during his lifetime as an author, philosopher, alchemist and astronomer , composing a scientific treatise on the astrolabe for his ten year-old son Lewis, Chaucer also maintained an active career in the civil service as a bureaucrat, courtier and diplomat.",446
3,"Chaucer is a crucial figure in developing the legitimacy of the vernacular , Middle English , at a time when the dominant literary languages in England were French and Latin.",447
3,"The 12-hour clock is a time convention in which the 24 hours of the day are divided into two periods: a.m. (from the Latin ante meridiem, meaning ""before midday"") and p.m. (post meridiem, ""after midday"").",448
3,"A 2007 review of all studies comparing health outcomes in Canada and the US in a Canadian peer-reviewed medical journal found that ""health outcomes may be superior in patients cared for in Canada versus the United States, but differences are not consistent.""",449
3,"There are currently 952 games (multiplatform: 751; exclusive: 123; console exclusive: 78) on this list as of April 2, 2013.",450
3,"Pineapples may be cultivated from a crown cutting of the fruit, possibly flowering in 20_24 months and fruiting in the following six months.",451
3,"Archaeological evidence suggests that the earliest known wine production occurred in what is now the country of Georgia around 7000 BCE, with other notable sites in Greater Iran dated 4500 BCE and Armenia 4100 BCE, respectively.",452
3,"In 1947, when India gained independence, the state of West Bengal was formed with 14 districts, as per partition plan of the then Bengal province of British India .",453
3,This is a list of the 221 towns and 13 cities in the U.S. state of New Hampshire .,454
3,"Though best known for its customer relationship management (CRM) product, Salesforce has also expanded into the ""social enterprise arena"" through acquisitions.",455
3,"During one orbit around the Sun, the Earth rotates about its own axis 366.26 times, creating 365.26 solar days , or one sidereal year .",456
3,"Cellular respiration is the set of the metabolic reactions and processes that take place in the cells of organisms to convert biochemical energy from nutrients into adenosine triphosphate (ATP), and then release waste products.",457
3,"Cartridge-operated extinguishers contain the expellant gas in a separate cartridge that is punctured prior to discharge, exposing the propellant to the extinguishing agent.",458
3,"Righteousness (also called rectitude) is an important theological concept in Christianity , Judaism , Islam , Hinduism (dharma), and Zoroastrianism .",459
3,"It is an attribute that implies that a person's actions are justified, and can have the connotation that the person has been ""judged"" or ""reckoned"" as leading a life that is pleasing to the god/s portrayed in these belief systems.",460
3,"Central America consists of seven countries: Belize , Costa Rica , El Salvador , Guatemala , Honduras , Nicaragua , and Panama .",461
3,A steam engine is a heat engine that performs mechanical work using steam as its working fluid .,462
3,"Steam engines are external combustion engines , where the working fluid is separate from the combustion products.",463
3,"Tacoma (, ) is a mid-sized urban port city and the county seat of Pierce County, Washington , United States.",464
3,"As the second largest city in San Diego County , Chula Vista has quickly become a destination popular to many tourists.",465
3,Sir Isaac Newton (25 December 164220 March 1727) was an English physicist and mathematician who is widely regarded as one of the most influential scientists of all time and as a key figure in the scientific revolution .,466
3,Newton's law of universal gravitation states that every point mass in the universe attracts every other point mass with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between them.,467
