intent,question,number
2,Where can I try local street food?,213
2,Are there any jazz clubs around?,214
2,Can you find me a karaoke bar?,215
2,Where can I find organic food stores?,216
2,What are some good hiking trails?,217
2,Is there a fitness center open 24 hours?,218
2,Where's a good spot to take kids?,219
2,Can you suggest a good rooftop bar?,220
2,Where's a romantic place for dinner?,221
2,Are there any nearby hot springs?,222
2,Can you recommend a co-working space?,223
2,Where can I see the stars clearly?,224
2,What are the best spots for street food?,225
2,Are there any local festivals this month?,226
2,Where can I buy artisanal cheese?,227
2,Can you suggest a scenic driving route?,228
2,Where can I find a nearby park?,229
2,Are there any good cafes around?,230
2,Can you recommend a place to eat?,231
2,Where's the nearest grocery store?,232
2,Are there any museums close by?,233
2,Where can I buy fresh fruits?,234
2,Is there a library nearby?,235
2,Can you find a quiet place to relax?,236
2,Where's a good spot for a walk?,237
2,Are there any local events today?,238
2,Can you suggest a place for dinner?,239
2,Where is the nearest hospital?,240
2,Are there any playgrounds for kids?,241
2,Where's a good place for shopping?,242
2,Can you find a bookstore for me?,243
2,Where can I get coffee?,244
2,Is there a gym nearby?,245
2,Where can I find a bakery?,246
2,Are there any markets around here?,247
2,Where can I go for a swim?,248
3,What's your favorite color?,249
3,Do you have any hobbies?,250
3,What's your favorite movie?,251
3,Do you like music?,252
3,What's your dream job?,253
3,Do you have a pet?,254
3,What's your favorite season?,255
3,Have you ever traveled abroad?,256
3,What's your favorite food?,257
3,Do you enjoy reading books?,258
3,What's your favorite holiday?,259
3,"If you could have any superpower, what would it be?",260
3,Do you like sports?,261
3,What's your favorite book?,262
3,What's your favorite animal?,263
3,Do you like to cook?,264
3,Have you ever tried a new hobby recently?,265
3,Do you prefer tea or coffee?,266
3,What's the best place you've visited?,267
3,Do you believe in luck?,268
3,Do you have a favorite memory?,269
3,What's the best advice you've ever received?,270
3,"If you could visit any country, where would you go?",271
3,What do you like about people?,272
3,Have you ever tried something completely new?,273
3,What's your favorite time of the day?,274
3,Do you enjoy art and creativity?,275
3,Do you have a favorite joke?,276
3,What's your biggest wish?,277
3,Are you a morning person or a night owl?,278
3,What's the coolest invention you've heard of?,279
3,"If you could learn any skill instantly, what would it be?",280
3,Do you like puzzles or brainteasers?,281
3,What's your favorite type of weather?,282
3,Do you enjoy learning new things?,283
3,What's something that always makes you smile?,284
3,"If you had one wish, what would it be?",285
3,Do you have a favorite word?,286
3,Have you ever been inspired by someone?,287
3,Do you enjoy playing games?,288
3,"What makes a good friend, in your opinion?",289
3,Do you have a favorite quote?,290
3,Are you an optimist or a realist?,291
3,What's the funniest thing you've heard recently?,292
3,"If you could change one thing in the world, what would it be?",293
3,Do you believe in second chances?,294
3,What's the most interesting thing you've learned?,295
3,Do you enjoy spending time outdoors?,296
3,What's your favorite way to relax?,297
3,"If you had a time machine, where would you go?",298
3,What's something you want to learn more about?,299
3,Are you a fan of surprises?,300
3,What's your favorite childhood memory?,301
3,Do you prefer working alone or in a team?,302
3,Have you ever accomplished something you're proud of?,303
3,Do you like trying new foods?,304
3,What's your favorite form of entertainment?,305
3,Are you good at keeping secrets?,306
3,What's one habit you'd like to break?,307
3,"If you were an animal, what would you be?",308
3,Do you like making plans or being spontaneous?,309
3,What's something you find fascinating?,310
3,Have you ever made a big decision on a whim?,311
3,What motivates you the most?,312
3,"If you had unlimited free time, how would you use it?",313
3,Do you like talking about dreams and goals?,314
3,What's one thing you wish you knew more about?,315
3,Have you ever been surprised by someone?,316
3,Do you have a role model?,317
3,What's one thing that never fails to make you laugh?,318
3,Do you enjoy challenges?,319
3,Do you believe in destiny?,320
3,What's your idea of a perfect day?,321
3,Are you a fan of technology?,322
3,What's one thing you can't live without?,323
3,Do you like meeting new people?,324
3,What's your favorite way to start the day?,325
3,Do you prefer quiet places or bustling ones?,326
3,What's a goal you're working towards?,327
3,"If you could live anywhere, where would it be?",328
3,Do you like listening to people's stories?,329
3,What's the best gift you've ever received?,330
3,Are you more of a thinker or a doer?,331
3,Do you believe in love at first sight?,332
3,What's something you wish you could do better?,333
3,Do you have a hidden talent?,334
3,What's your favorite way to spend a weekend?,335
3,Are you a morning person?,336
3,What's your favorite part about learning something new?,337
3,Do you like planning things out?,338
3,What's one thing you'd change about yourself?,339
3,Do you enjoy surprises?,340
3,What's the most difficult decision you've made?,341
3,Are you someone who likes taking risks?,342
3,What's the most memorable place you've been?,343
3,Do you like trying new experiences?,344
3,Are you good at multitasking?,345
3,What's your dream vacation destination?,346
3,Do you believe in karma?,347
3,What's your favorite subject to talk about?,348
3,What's something that makes you feel accomplished?,349
3,HOW AFRICAN AMERICANS WERE IMMIGRATED TO THE US,350
3,how are glacier caves formed?,351
3,how a water pump works,352
3,"how big is bmc software in houston, tx",353
3,"how big is bmc software in houston, tx",354
3,how much is 1 tablespoon of water,355
3,how much is 1 tablespoon of water,356
3,how much is 1 tablespoon of water,357
3,how much are the harry potter movies worth,358
3,how a rocket engine works,359
3,how old was sue lyon when she made lolita,360
3,how are cholera and typhus transmitted and prevented,361
3,how did anne frank die,362
3,how are aircraft radial engines built,363
3,how deep can be drill for deep underwater,364
3,how old was monica lewinsky during the affair,365
3,how long was frank sinatra famous,366
3,how are antibodies used in,367
3,how are antibodies used in,368
3,how are antibodies used in,369
3,how are antibodies used in,370
3,how much is jk rowling worth,371
3,how big is auburndale florida,372
3,"how old is kirk douglas, the actor?",373
3,how old is the singer bob seger,374
3,how long was i love lucy on the air,375
3,how long was richard nixon a president,376
3,HOW MUCH IS CENTAVOS IN MEXICO,377
3,How long was Mickie James with WWE?,378
3,how did armando christian perez become famous,379
3,how old were the twin towers when destroyed,380
3,how are the # of electrons in each shell determined,381
3,how many presidents of the us,382
3,how old is beatrice author,383
3,how are public schools funded,384
3,how are public schools funded,385
3,what happens  to the light independent reactions of photosynthesis?,386
3,what happens  to the light independent reactions of photosynthesis?,387
3,how does interlibrary loan work,388
3,how does interlibrary loan work,389
3,what did mia hamm do his work,390
3,what bacteria grow on macconkey agar,391
3,what countries are under the buddhism religion,392
3,how did wild bill's father die,393
3,how many land rovers have landed on mars,394
3,how do forensic auditors examine financial reporting,395
3,how do forensic auditors examine financial reporting,396
3,how do forensic auditors examine financial reporting,397
3,what bird family is the owl,398
3,how did harmon killebrew get strong,399
3,What did the augurs use to interpret the will of the gods?,400
3,How much did Waterboy grossed,401
3,"What county is Farmington Hills, MI in?",402
3,what does a groundhog look for on groundhog day,403
3,What committees are joint committees,404
3,how many stripes on the flag,405
3,How many states and territories are within India?,406
3,how is whooping cough distinguished from similar diseases,407
3,how is whooping cough distinguished from similar diseases,408
3,what county is galveston in texas,409
3,what cities are in the bahamas,410
3,what cities are in the bahamas,411
3,how many schools are in the big ten,412
3,how is single malt scotch made,413
3,how is single malt scotch made,414
3,what composer used sound mass,415
3,what composer used sound mass,416
3,what composer used sound mass,417
3,what composer used sound mass,418
3,what composer used sound mass,419
3,what composer used sound mass,420
3,what composer used sound mass,421
3,How Do You Play Spades,422
3,what continent is australia,423
3,what causes heart disease,424
3,what countries did immigrants come from during the immigration,425
3,what countries did immigrants come from during the immigration,426
3,how many people live in atlanta georgia,427
3,how many people live in atlanta georgia,428
3,what does it mean to be a commonwealth state,429
3,how long can you be in the supreme court,430
3,what county in texas is conroe located in,431
3,what can sql 2005 do,432
3,how many people were killed in the oklahoma city bombing,433
3,What group took home the award for best rock album at the Australian Recording Industry Association (ARIA) Music Awards?,434
3,how does a dredge work?,435
3,how does a dredge work?,436
3,how does a dredge work?,437
3,how does a dredge work?,438
3,how does a dredge work?,439
3,what did benedict arnold die,440
3,how many world series did curt schilling have,441
3,how many ports are there in networking,442
3,what area code is 479,443
3,what area code is 479,444
3,what does arraignment mean,445
3,what did chaucer do,446
3,what did chaucer do,447
3,what does am and pm stand for,448
3,how is canada's health care,449
3,how many xbox 360 games are there,450
3,how do pineapples grow,451
3,what country did wine originate in,452
3,how many district are in west bengal,453
3,how many towns in new hampshire,454
3,what does salesforce.com do?,455
3,what does 1 year mean to the planet,456
3,what is feedback mechanism in plants during respiration,457
3,how fire extinguisher works,458
3,what does righteousness mean,459
3,what does righteousness mean,460
3,what countries are in central america?,461
3,how does a steam engine work,462
3,how does a steam engine work,463
3,what county is tacoma washington in,464
3,what county is chula vista ca in,465
3,what did isaac newton do,466
3,what does the universal law of gravitation state,467
3,how does a dim sum restaurant work,468
3,how does a dim sum restaurant work,469
3,how does a dim sum restaurant work,470
3,how many US soldiers killed in Iraq war,471
3,how many planets is jupiter away from the sun?,472
3,what city was the convention when gerald ford was nominated,473
3,how many professional hockey teams in canada,474
3,what county is northville mi,475
3,what county is northville mi,476
3,how many games did brett favre start in a row,477
3,what does a vote to table a motion mean?,478
3,What does the class mean for SDHC cards?,479
3,what do porcupines eat,480
3,what did elijah mccoy invent,481
3,how many apple store are there in total?,482
3,What does the idea of effective nuclear charge tell us,483
3,how is jerky made,484
3,how is jerky made,485
3,what domain is eu,486
3,"What does the name ""Meister"" mean in German",487
3,what happened on the moon during the period of Late Heavy Bombardment?,488
3,How did Edgar Allan Poe die?,489
3,what did tycho brahe do,490
3,what did tycho brahe do,491
3,how many seasons heroes,492
3,what holiday is first weekend of september,493
3,how old r Dylan and Cole Sprouse,494
3,what does life insurance cover?,495
3,what does life insurance cover?,496
3,what does life insurance cover?,497
3,how many days does the chinese new year last,498
3,what does s.h.i.e.l.d stand for,499
3,how many consoles has xbox 360 sold,500
3,how is a backpack made,501
3,WHAT COUNTRY IS MEXICO IN,502
3,how is slugging percentage calculated,503
3,what day is st. patricks day,504
3,what cheese is made from goat's milk,505
3,what does the federal reserve do,506
3,what country is belize in,507
3,how many books are included in the protestant Bible?,508
3,how many stars on the first american flag,509
3,how does a cat purr,510
3,what became of rich on price is right,511
3,what became of rich on price is right,512
3,what county is St. Elizabeth MO in,513
3,what county is wilton ca in,514
3,what happened to stevie ray vaughan,515
3,how many gold gloves does barry larkin have,516
3,what caused ww,517
3,how did women's role change during the war,518
3,how many seasons were there of the wire,519
3,what kind of legal remedy is it to ask someone to fulfill there promise,520
3,how is ASP.NET different from .NET,521
3,how does lsd impact the human body,522
3,how does lsd impact the human body,523
3,how does lsd impact the human body,524
3,how many people live in memphis tennessee,525
3,how many muscles in the human body,526
3,how did seminole war end,527
3,what county is orono maine in,528
3,what it is a pilot study,529
3,how many humps on a camel,530
3,what can be powered by wind,531
3,how many nature oceans are on earth,532
3,what county is jacksonville florida in,533
3,what chili wants wiki,534
3,what does a liquid oxygen plant look like,535
3,what division is boise state football,536
3,"What does the term ""mens rea"" mean",537
3,what do UA's detect,538
3,how much caffeine is in a shot of espresso,539
3,What does Human sperm consist of?,540
3,how did the penguins acquire sidney crosby,541
3,what does add my two cents mean,542
3,how much total wealth in USA,543
3,what does a plus-minus sign mean,544
3,what does a plus-minus sign mean,545
3,how was the moon formed,546
3,how was the moon formed,547
3,what did ronald reagan do as president,548
3,what does judgment as a matter of law mean,549
3,how many presidents have been assassinated,550
3,what does oklahoma produce,551
3,how many redwall books are there,552
3,what date did the american civil war start,553
3,what does bruce jenner do,554
3,what does alkali do to liquids?,555
3,what area code is 217,556
3,what area code is 217,557
3,how jameson irish whiskey is made,558
3,what does gloria in excelsis deo mean,559
3,what are stocks and bonds,560
3,what are stocks and bonds,561
3,Who am I?,562
3,Can you tell me who I am?,563
3,Do you know who I am?,564
3,Do you remember me?,565
3,Who are you?,566
3,Can you tell me more about yourself?,567
3,What can you help me with?,568
3,Are you a real person?,569
3,Can you introduce yourself?,570
