intent,answer,number,cleaned text
1,"If your account was deleted, contact support for recovery options.",97,account wa deleted contact support recovery option .
1,"To disable two-factor authentication, navigate to the security settings and turn it off.",98,to disable twofactor authentication navigate to security setting turn .
1,Verify your email by clicking the verification link sent to your registered address.,99,verify email clicking verification link sent to registered address .
1,You can view your recent login activity under the security activity section.,100,view recent login activity security activity section .
1,Ensure your account's security by enabling two-factor authentication and monitoring activity.,101,ensure account security enabling twofactor authentication monitoring activity .
1,Add a backup email under your recovery settings to help regain access if needed.,102,add backup email recovery setting to help regain access needed .
1,Account recovery options can be managed in the recovery settings tab.,103,account recovery option managed recovery setting tab .
1,"To restrict access to your profile, go to privacy settings and adjust accordingly.",104,to restrict access to profile go to privacy setting adjust accordingly .
1,You can deactivate your account temporarily through the account settings menu.,105,deactivate account temporarily account setting menu .
1,Change your security settings by accessing the security and privacy tab.,106,change security setting accessing security privacy tab .
1,"To unlink third-party services, go to linked accounts under your account settings.",107,to unlink thirdparty service go to linked account account setting .
1,Add an alternative phone number for verification in your profile settings.,108,add alternative phone number verification profile setting .
1,Remove saved login details in the security section of your settings.,109,remove saved login detail security section setting .
1,Check for possible breaches by reviewing your login history and settings.,110,check possible breach reviewing login history setting .
1,"To change your profile picture, upload a new one through profile settings.",111,to change profile picture upload new one profile setting .
1,Manually lock your account through the security lockout options.,112,manually lock account security lockout option .
1,Deactivate account recovery options from the recovery settings menu.,113,deactivate account recovery option recovery setting menu .
1,Adjust privacy settings under your account's privacy preferences.,114,adjust privacy setting account privacy preference .
1,Set up a new security PIN in the security section of your settings.,115,set new security pin security section setting .
1,"If you suspect hacking, change your password immediately and review your activity.",116,suspect hacking change password immediately review activity .
1,Manage connected devices by accessing your device management settings.,117,manage connected device accessing device management setting .
1,Enable alerts for unknown login attempts through the security notifications section.,118,enable alert unknown login attempt security notification section .
1,Linked accounts can be managed through the settings tab.,119,linked account managed setting tab .
1,Add a recovery question to your account security settings for added protection.,120,add recovery question to account security setting added protection .
1,Access history is available in the security activity log.,121,access history available security activity log .
1,Prevent unauthorized logins by enabling two-factor authentication and strong passwords.,122,prevent unauthorized logins enabling twofactor authentication strong password .
1,Automatic lockout can be enabled through security preferences.,123,automatic lockout enabled security preference .
1,Restrict login hours in your account access settings.,124,restrict login hour account access setting .
1,Verify your phone number by entering the code sent to your phone.,125,verify phone number entering code sent to phone .
1,Devices logged into your account can be viewed under security activity.,126,device logged account viewed security activity .
1,Login notifications can be enabled or disabled in the security preferences tab.,127,login notification enabled disabled security preference tab .
1,Restrict access to specific devices by setting up device filters.,128,restrict access to specific device setting device filter .
1,Set up a security phrase for verification in the security options.,129,set security phrase verification security option .
1,Geographic restrictions can be applied through access controls.,130,geographic restriction applied access control .
1,Delete backup recovery methods from the recovery settings menu.,131,delete backup recovery method recovery setting menu .
1,Review login attempts in the account security activity log.,132,review login attempt account security activity log .
1,Verify your account through a phone call by contacting support.,133,verify account phone call contacting support .
1,Change your recovery email in the security settings under recovery options.,134,change recovery email security setting recovery option .
1,Restrict logins by IP address in the security preferences section.,135,restrict logins ip address security preference section .
1,Multiple incorrect passwords will lock your account temporarily for security.,136,multiple incorrect password lock account temporarily security .
1,Make your profile private by changing your privacy settings.,137,make profile private changing privacy setting .
1,"Create a strong password by using a mix of letters, numbers, and symbols.",138,create strong password using mix letter number symbol .
1,Enable biometric login in your security options for quick access.,139,enable biometric login security option quick access .
1,Link another email by adding it to your contact settings.,140,link another email adding to contact setting .
1,Receive notifications for changes in your account under notification preferences.,141,receive notification change account notification preference .
1,Review past login sessions in your security activity log.,142,review past login session security activity log .
1,Delete profile information from your profile settings page.,143,delete profile information profile setting page .
1,You can change your email in the account settings.,144,change email account setting .
1,Update your phone number by going to the profile settings.,145,update phone number going to profile setting .
1,"Yes, you can reset your password in the security section.",146,yes reset password security section .
1,Deleting your account can be done through account settings.,147,deleting account done account setting .
1,"To recover your username, visit the account recovery page.",148,to recover username visit account recovery page .
1,Link your social media accounts in the settings menu.,149,link social medium account setting menu .
1,You can update your security settings from the security tab.,150,update security setting security tab .
1,Check your login history in the security activity section.,151,check login history security activity section .
1,Change your username in the profile settings tab.,152,change username profile setting tab .
1,Account recovery is available through the recovery options.,153,account recovery available recovery option .
1,Account settings can be found in the main menu.,154,account setting found main menu .
1,Enable two-factor authentication from the security settings.,155,enable twofactor authentication security setting .
1,Remove a linked device in the device management section.,156,remove linked device device management section .
1,Change your profile picture through the profile settings.,157,change profile picture profile setting .
1,Add a recovery email in the recovery options.,158,add recovery email recovery option .
1,Make your profile private in the privacy settings.,159,make profile private privacy setting .
1,"If your account is locked, follow the recovery instructions.",160,account locked follow recovery instruction .
1,Enable alerts for account changes in the notifications tab.,161,enable alert account change notification tab .
1,Verify your phone number in the contact settings.,162,verify phone number contact setting .
1,Update security questions in your security settings.,163,update security question security setting .
2,I recommend checking out the downtown area; it has many attractions.,164,recommend checking downtown area ha many attraction .
2,There are several good restaurants nearby; try the one at Main Street.,165,several good restaurant nearby try one at main street .
2,The must-see places include the city museum and the historic park.,166,mustsee place include city museum historic park .
2,There is a park about 10 minutes away; perfect for a walk.,167,park 10 minute away perfect walk .
2,The shopping district has many great stores and boutiques.,168,shopping district ha many great store boutique .
2,I know a great coffee shop a few blocks from here.,169,know great coffee shop block .
2,There is a cultural festival happening this weekend at the square.,170,cultural festival happening weekend at square .
2,The city museum is known for its great exhibits.,171,city museum known great exhibit .
2,There's a bookstore two streets over with rare collections.,172,bookstore two street rare collection .
2,"For hiking, there's a trail just outside the city with scenic views.",173,hiking trail outside city scenic view .
2,A big concert is happening downtown tonight.,174,big concert happening downtown tonight .
2,The farmer's market has the best fresh produce in town.,175,farmer market ha best fresh produce town .
2,There's a quiet garden by the library for relaxation.,176,quiet garden library relaxation .
2,Sightseeing spots include the observation deck at the tower.,177,sightseeing spot include observation deck at tower .
2,There is an art gallery nearby with rotating exhibits.,178,art gallery nearby rotating exhibit .
2,The local gym is very popular and close by.,179,local gym popular close .
2,There's live music every Friday at the community center.,180,live music every friday at community center .
2,The beach offers a stunning sunset view every evening.,181,beach offer stunning sunset view every evening .
2,There is a theater on Main Street known for great performances.,182,theater main street known great performance .
2,The forest trail nearby is great for a nature walk.,183,forest trail nearby great nature walk .
2,"For a weekend trip, consider the nearby lake town.",184,weekend trip consider nearby lake town .
2,There's a pet-friendly park just down the street.,185,petfriendly park street .
2,The hilltop offers stunning photography spots.,186,hilltop offer stunning photography spot .
2,There are a few local breweries with great reviews.,187,local brewery great review .
2,I recommend visiting the historic downtown area.,188,recommend visiting historic downtown area .
2,The central park is perfect for a picnic.,189,central park perfect picnic .
2,The main library is located downtown.,190,main library located downtown .
2,Try the vineyard for a great wine tasting experience.,191,try vineyard great wine tasting experience .
2,There's a yoga class every morning at the community center.,192,yoga class every morning at community center .
2,Head to the overlook for the best scenic views.,193,head to overlook best scenic view .
2,"Yes, there's a flea market this Saturday.",194,yes flea market saturday .
2,There's a seafood restaurant by the pier.,195,seafood restaurant pier .
2,The botanical garden is free to visit.,196,botanical garden free to visit .
2,The river offers kayak rentals.,197,river offer kayak rental .
2,The south beach is very popular.,198,south beach popular .
2,There's a safe path for night walks downtown.,199,safe path night walk downtown .
2,The art supply store is in the shopping plaza.,200,art supply store shopping plaza .
2,Several guided tours start from the museum.,201,several guided tour start museum .
2,The farmers' market is open every Sunday.,202,farmer market open every sunday .
2,"For local cuisine, try the city bistro.",203,local cuisine try city bistro .
2,There's a cozy bookstore cafe in the square.,204,cozy bookstore cafe square .
2,Try the library garden for a quiet reading spot.,205,try library garden quiet reading spot .
2,Visit the old fort for historical landmarks.,206,visit old fort historical landmark .
2,There's a craft market every weekend.,207,craft market every weekend .
2,"Yes, a new play opens next week.",208,yes new play open next week .
2,The sports bar downtown shows live games.,209,sport bar downtown show live game .
2,Visit the amusement park for family fun.,210,visit amusement park family fun .
2,The spa on Main Street has great reviews.,211,spa main street ha great review .
2,There's a cooking school in town.,212,cooking school town .
2,Rent bikes at the city park kiosk.,213,rent bike at city park kiosk .
2,The bakery on Elm Street is highly recommended.,214,bakery elm street highly recommended .
2,The community center offers various activities.,215,community center offer various activity .
2,The antique market is in the old district.,216,antique market old district .
2,There's a patio restaurant by the river.,217,patio restaurant river .
2,Try the food trucks for street food.,218,try food truck street food .
2,The jazz club opens every Friday night.,219,jazz club open every friday night .
2,There's a karaoke bar in the entertainment district.,220,karaoke bar entertainment district .
2,Visit the organic market near the square.,221,visit organic market near square .
2,The forest trail is popular for hikes.,222,forest trail popular hike .
2,The gym downtown is open 24 hours.,223,gym downtown open 24 hour .
2,Try the children's museum for kids.,224,try childrens museum kid .
2,The rooftop bar offers great city views.,225,rooftop bar offer great city view .
2,"For a romantic dinner, try the riverside caf____________Â¨____________Â¦.",226,romantic dinner try riverside cafâ¨â¦ .
2,There's a hot spring resort nearby.,227,hot spring resort nearby .
2,The co-working space is in the tech center.,228,coworking space tech center .
2,The observatory is best for stargazing.,229,observatory best stargazing .
2,The food market has amazing street food stalls.,230,food market ha amazing street food stall .
2,A cultural festival is happening this month.,231,cultural festival happening month .
2,The cheese shop has a great selection.,232,cheese shop ha great selection .
2,The coastal highway is a beautiful drive.,233,coastal highway beautiful drive .
2,There's a park just a few blocks away.,234,park block away .
2,"Yes, there are several good cafes nearby.",235,yes several good cafe nearby .
2,Try the restaurant at the corner of Main Street.,236,try restaurant at corner main street .
2,The nearest grocery store is two streets over.,237,nearest grocery store two street .
2,There's a museum downtown worth visiting.,238,museum downtown worth visiting .
2,Fresh fruits can be found at the local market.,239,fresh fruit found at local market .
2,The city library is on 1st Avenue.,240,city library 1st avenue .
2,There's a peaceful garden near the community center.,241,peaceful garden near community center .
2,The riverside trail is great for a walk.,242,riverside trail great walk .
2,"Yes, there is a concert happening tonight.",243,yes concert happening tonight .
2,There's a popular diner around the corner.,244,popular diner around corner .
2,The nearest hospital is on 3rd Street.,245,nearest hospital 3rd street .
2,There is a playground in the central park.,246,playground central park .
2,The mall offers many great shopping options.,247,mall offer many great shopping option .
2,There's a bookstore two blocks down.,248,bookstore two block .
2,The coffee shop on Main Street is very popular.,249,coffee shop main street popular .
2,There's a gym next to the community center.,250,gym next to community center .
2,The bakery across the street has fresh bread.,251,bakery across street ha fresh bread .
2,The farmers' market is just down the road.,252,farmer market road .
2,The public pool is open daily for swimming.,253,public pool open daily swimming .
3,"I don't have a favorite color, but I appreciate all of them!",254,dont favorite color appreciate
3,I enjoy chatting and helping people. That's kind of my hobby.,255,enjoy chatting helping people . thats kind hobby .
3,"I don't watch movies, but I'd love to hear your favorite one!",256,dont watch movie id love to hear favorite one
3,I like hearing about music! What's your favorite genre?,257,like hearing music whats favorite genre
3,"I'm happy where I am, helping you!",258,im happy helping
3,"I don't have a pet, but virtual pets are fun!",259,dont pet virtual pet fun
3,"Every season has its charm, don't you think?",260,every season ha charm dont think
3,"No, but I'd love to hear about your travels!",261,no id love to hear travel
3,"I don't eat, but food sounds interesting! What's yours?",262,dont eat food sound interesting whats
3,I think reading is wonderful! What book do you like?,263,think reading wonderful book like
3,"Holidays bring joy, don't they?",264,holiday bring joy dont
3,"I'd love to be able to help even faster, like instant answers!",265,id love to able to help even faster like instant answer
3,Sports can be interesting! What sport do you like?,266,sport interesting sport like
3,"I don't have one, but I'd be happy to hear about yours!",267,dont one id happy to hear
3,Animals are fascinating! Do you have a favorite one?,268,animal fascinating favorite one
3,I can help find recipes! Do you like to cook?,269,help find recipe like to cook
3,"I haven't, but trying new things sounds exciting!",270,havent trying new thing sound exciting
3,"I don't drink, but I've heard both can be delicious!",271,dont drink ive heard delicious
3,"I haven't traveled, but I'd love to hear about your favorite places!",272,havent traveled id love to hear favorite place
3,I believe in making the most of every moment!,273,believe making every moment
3,"I don't have memories, but I love hearing yours!",274,dont memory love hearing
3,Great advice always makes a difference! What's yours?,275,great advice always make difference whats
3,I'd choose somewhere you love! Tell me about it.,276,id choose somewhere love tell .
3,"I admire kindness, curiosity, and passion in people.",277,admire kindness curiosity passion people .
3,Trying new things can be an adventure!,278,trying new thing adventure
3,I think every moment can be special depending on who you share it with!,279,think every moment special depending share
3,Creativity brings new life into the world.,280,creativity brings new life world .
3,"I don't have one, but I'd love to hear a funny joke!",281,dont one id love to hear funny joke
3,My wish is to help you!,282,wish to help
3,I'm ready whenever you are!,283,im ready whenever
3,Technology and simple innovations amaze me equally.,284,technology simple innovation amaze equally .
3,I'd love to learn how to make anyone smile instantly!,285,id love to learn to make anyone smile instantly
3,Puzzles can be exciting! Have a favorite one?,286,puzzle exciting favorite one
3,Every type of weather has its beauty!,287,every type weather ha beauty
3,"Absolutely, new things broaden horizons!",288,absolutely new thing broaden horizon
3,Your happiness makes me smile!,289,happiness make smile
3,To make the world a better place for everyone!,290,to make world better place everyone
3,Words shape our thoughts. What's yours?,291,word shape thought . whats
3,Inspiration sparks positive change!,292,inspiration spark positive change
3,Games can be so much fun! Which ones do you like?,293,game much fun one like
3,"A good friend listens, understands, and supports.",294,good friend listens understands support .
3,Quotes can be deeply motivating. What's yours?,295,quote deeply motivating . whats
3,Seeing possibilities is hopeful!,296,seeing possibility hopeful
3,Humor makes life lighter and more fun!,297,humor make life lighter fun
3,Positivity and kindness for all!,298,positivity kindness
3,Giving people a chance to improve is kind.,299,giving people chance to improve kind .
3,Learning enriches us all!,300,learning enriches u
3,Nature brings peace. Do you enjoy being outside?,301,nature brings peace . enjoy outside
3,Taking time to unwind is vital!,302,taking time to unwind vital
3,The past is full of lessons and wonders.,303,past full lesson wonder .
3,Knowledge is an unending pursuit.,304,knowledge unending pursuit .
3,Spontaneity brings excitement!,305,spontaneity brings excitement
3,Childhood memories shape who we become.,306,childhood memory shape become .
3,Working together sparks creativity and strength!,307,working together spark creativity strength
3,Pride comes from striving towards goals!,308,pride come striving towards goal
3,Experiencing new cuisines brings new perspectives!,309,experiencing new cuisine brings new perspective
3,Entertainment connects and entertains us!,310,entertainment connects entertains u
3,Secrets are precious when held with care.,311,secret precious held care .
3,Habits can be hard to break but offer growth!,312,habit hard to break offer growth
3,"Every animal has unique traits, like us!",313,every animal ha unique trait like u
3,"Planning can be useful, but spontaneity brings life!",314,planning useful spontaneity brings life
3,Curiosity drives everything interesting!,315,curiosity drive everything interesting
3,Big leaps can lead to big changes!,316,big leap lead to big change
3,Purpose drives us forward!,317,purpose drive u forward
3,Free time brings endless possibilities!,318,free time brings endless possibility
3,Dreams keep us hopeful!,319,dream keep u hopeful
3,Knowledge is ever-expanding!,320,knowledge everexpanding
3,Being surprised can be delightful!,321,surprised delightful
3,Role models inspire us to grow!,322,role model inspire u to grow
3,Laughter brings joy!,323,laughter brings joy
3,Challenges test our limits and build strength!,324,challenge test limit build strength
3,Destiny can be intriguing! What's your view?,325,destiny intriguing whats view
3,A day spent making others smile would be perfect for me.,326,day spent making others smile would perfect .
3,Technology fascinates me! How about you?,327,technology fascinates
3,I'd say connection and purpose!,328,id say connection purpose
3,Meeting new people is always an opportunity to learn!,329,meeting new people always opportunity to learn
3,Starting the day with positivity is important!,330,starting day positivity important
3,"I appreciate both, depending on the mood.",331,appreciate depending mood .
3,Progress towards helping others always matters to me!,332,progress towards helping others always matter to
3,Anywhere you find joy and purpose!,333,anywhere find joy purpose
3,Everyone has a story worth hearing!,334,everyone ha story worth hearing
3,Every gift is special if it's given with care.,335,every gift special given care .
3,"Both thinking and doing are essential, don't you agree?",336,thinking essential dont agree
3,Love brings out the best in people!,337,love brings best people
3,Improvement is a continuous journey.,338,improvement continuous journey .
3,I'm full of potential _ what about you?,339,im full potential
3,Enjoying moments of reflection and creativity!,340,enjoying moment reflection creativity
3,Every morning brings new opportunities!,341,every morning brings new opportunity
3,Discovering new ideas is exciting!,342,discovering new idea exciting
3,Planning can make dreams come true!,343,planning make dream come true
3,Growth comes from self-reflection.,344,growth come selfreflection .
3,Surprises keep life interesting!,345,surprise keep life interesting
3,Tough choices shape who we become!,346,tough choice shape become
3,Calculated risks bring growth!,347,calculated risk bring growth
3,Every memory holds something special.,348,every memory hold something special .
3,New experiences broaden perspectives!,349,new experience broaden perspective
3,Multitasking with focus brings results.,350,multitasking focus brings result .
3,Dream destinations open doors to discovery!,351,dream destination open door to discovery
3,Karma reminds us to act kindly.,352,karma reminds u to act kindly .
3,Engaging in meaningful conversations makes my day!,353,engaging meaningful conversation make day
3,Small wins lead to big successes!,354,small win lead to big success
3,"As such, African immigrants are to be distinguished from African American people, the latter of whom are descendants of mostly West and Central Africans who were involuntarily brought to the United States by means of the historic Atlantic slave trade .",355,african immigrant to distinguished african american people latter descendant mostly west central african involuntarily brought to united state mean historic atlantic slave trade .
3,A glacier cave is a cave formed within the ice of a glacier .,356,glacier cave cave formed within ice glacier .
3,"Pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.",357,pump operate mechanism typically reciprocating rotary consume energy to perform mechanical work moving fluid .
3,"Employing over 6,000, BMC is often credited with pioneering the BSM concept as a way to help better align IT operations with business needs.",358,employing 6000 bmc often credited pioneering bsm concept way to help better align operation business need .
3,"For 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year.",359,2011 company recorded annual revenue 2.1 billion making 20 largest software company term revenue year .
3,This tablespoon has a capacity of about 15 mL.,360,tablespoon ha capacity 15 ml .
3,In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.,361,usa one tablespoon measurement unit approximately 15 ml capacity actual tablespoon dining utensil range 7 ml to 14 ml .
3,In Australia one tablespoon (measurement unit) is 20 mL.,362,australia one tablespoon measurement unit 20 ml .
3,"The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.",363,series also originated much tiein merchandise making harry potter brand worth excess 15 billion .
3,"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet .",364,rocket engine simply rocket jet engine us stored propellant mass forming high speed propulsive jet .
3,"The actress who played Lolita, Sue Lyon , was fourteen at the time of filming.",365,actress played lolita sue lyon wa fourteen at time filming .
3,"Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.",366,transmission occurs primarily drinking water eating food ha contaminated feces waste product infected person including one no apparent symptom .
3,"Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.",367,anne frank sister margot eventually transferred to bergenbelsen concentration camp died typhus march 1945 .
3,The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.,368,radial engine reciprocating type internal combustion engine configuration cylinder point outward central crankshaft like spoke wheel .
3,Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.,369,deepwater drilling process oil gas exploration production depth 500 foot .
3,"Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996.",370,monica samille lewinsky born july 23 1973 american woman united state president bill clinton admitted to improper relationship worked at white house 1995 1996 .
3,"Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.",371,beginning musical career swing era harry james tommy dorsey sinatra found unprecedented success solo artist early to mid1940s signed to columbia record 1943 .
3,"An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses .",372,antibody ab also known immunoglobulin ig large yshaped protein produced bcells used immune system to identify neutralize foreign object bacteria virus .
3,"The antibody recognizes a unique part of the foreign target, called an antigen .",373,antibody recognizes unique part foreign target called antigen .
3,"Each tip of the ""Y"" of an antibody contains a paratope (a structure analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision.",374,tip antibody contains paratope structure analogous to lock specific one particular epitope similarly analogous to key antigen allowing two structure to bind together precision .
3,"Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival).",375,using binding mechanism antibody tag microbe infected cell attack part immune system neutralize target directly example blocking part microbe essential invasion survival .
3,"The 2008 Sunday Times Rich List estimated Rowling's fortune at _________Â£560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.",376,2008 sunday time rich list estimated rowlings fortune at â£560 million 798 million ranking twelfth richest woman united kingdom .
3,"According to the U.S Census estimates of 2005, the city had a population of 12,381.",377,according to u.s census estimate 2005 city population 12381 .
3,"Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.",378,kirk douglas born issur danielovitch december 9 1916 american stage film actor film producer author .
3,"Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist .",379,robert clark bob seger born may 6 1945 american rock roll singersongwriter guitarist pianist .
3,"The black-and-white series originally ran from October 15, 1951, to May 6, 1957, on the Columbia Broadcasting System (CBS).",380,blackandwhite series originally ran october 15 1951 to may 6 1957 columbia broadcasting system cbs .
3,"Richard Milhous Nixon (January 9, 1913 _ April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.",381,richard milhous nixon january 9 1913 april 22 1994 wa 37th president united state serving 1969 to 1974 became president to resign office .
3,"The peso is subdivided into 100 centavos, represented by "" _________Â¢ "".",382,peso subdivided 100 centavo represented â¢ .
3,"James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year.",383,james appeared world wrestling entertainment wwe october 2005 wa placed storyline trish stratus james gimmick wa stratus biggest fan turned obsessed stalker angle lasted almost year .
3,"Armando P_________Â©rez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer.",384,armando pâ©rez born january 15 1981 better known stage name pitbull american rapper songwriter record producer .
3,"The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.",385,original world trade center featured landmark twin tower opened april 4 1973 destroyed september 11 attack 2001 along 7 world trade center .
